Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,2.43,,2.43,,0.05,2.48
Beryllium & compounds,0.575,,0.575,,,0.575
Cadmium & compounds,9.77,,9.77,,0.005,9.775
Carbon monoxide,1090000.0,,1090000.0,,,1090000.0
Chlorine & compounds,,,,,81200.0,81200.0
Chromium (III) compounds,12.3,,12.3,,0.052,12.352
Copper & compounds,8.25,,8.25,,0.052,8.302
Cumene (1-methylethylbenzene),13.0,13.0,,,,13.0
Ethylbenzene,2.94,2.94,,,0.026,2.966
n-Hexane,3.88,3.88,,,,3.88
Hydrogen sulfide,12800.0,,12800.0,,,12800.0
Lead & compounds,5.87,,5.87,,0.0521,5.9221
Mercury & compounds,2.74,,2.74,,0.0026,2.7426
Nickel & compounds,18.1,,18.1,,0.1,18.2
Oxides of Nitrogen,1720000.0,,1720000.0,,,1720000.0
Particulate Matter 10.0 um,73300.0,,73300.0,,,73300.0
Particulate Matter 2.5 um,72100.0,,72100.0,,,72100.0
Polychlorinated dioxins and furans (TEQ),4.58E-5,,4.58E-5,,,4.58E-5
Polycyclic aromatic hydrocarbons (B[a]Peq),7.53,,7.53,,,7.53
Sulfur dioxide,7190.0,,7190.0,,,7190.0
Toluene (methylbenzene),18.52,7.52,11.0,,0.05,18.57
Total Volatile Organic Compounds,2080596.0,596.0,2080000.0,,,2080596.0
Xylenes (individual or mixed isomers),15.42,7.75,7.67,,0.03,15.45
