Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,4.55,,4.55,,0.0221,4.5721
Benzene,39.32,32.0,7.32,,0.187,39.507
Beryllium & compounds,2.92,,2.92,,,2.92
Cadmium & compounds,6.57,,6.57,,0.147,6.717
Carbon monoxide,5170000.0,,5170000.0,,,5170000.0
Chlorine & compounds,,,,,28700.0,28700.0
Chromium (III) compounds,7.56,,7.56,,0.163,7.723
Copper & compounds,8.66,,8.66,,0.173,8.833
Cumene (1-methylethylbenzene),56.4,56.4,,,,56.4
Ethylbenzene,12.7,12.7,,,0.0233,12.7233
n-Hexane,16.8,16.8,,,,16.8
Lead & compounds,10.4,,10.4,,0.154,10.554
Mercury & compounds,3.78,,3.78,,0.0233,3.8033
Nickel & compounds,9.88,,9.88,,0.175,10.055
Oxides of Nitrogen,1600000.0,,1600000.0,,,1600000.0
Particulate Matter 10.0 um,68000.0,,68000.0,,,68000.0
Particulate Matter 2.5 um,62400.0,,62400.0,,,62400.0
Polychlorinated dioxins and furans (TEQ),3.9E-5,,3.9E-5,,,3.9E-5
Polycyclic aromatic hydrocarbons (B[a]Peq),13.4,,13.4,,,13.4
Sulfur dioxide,4640.0,,4640.0,,,4640.0
Toluene (methylbenzene),35.14,32.5,2.64,,0.28,35.42
Total Volatile Organic Compounds,8732580.0,2580.0,8730000.0,,,8732580.0
Xylenes (individual or mixed isomers),35.34,33.5,1.84,,0.117,35.457
