Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,2.09,,2.09,,0.024,2.114
Beryllium & compounds,1.07,,1.07,,,1.07
Cadmium & compounds,4.72,,4.72,,0.159,4.879
Carbon monoxide,2530000.0,,2530000.0,,,2530000.0
Chlorine & compounds,,,,,38500.0,38500.0
Chromium (III) compounds,5.72,,5.72,,0.177,5.897
Copper & compounds,4.97,,4.97,,0.187,5.157
Cumene (1-methylethylbenzene),23.6,23.6,,,,23.6
Ethylbenzene,5.32,5.32,,,0.0253,5.3453
n-Hexane,7.02,7.02,,,,7.02
Lead & compounds,4.87,,4.87,,0.167,5.037
Mercury & compounds,1.93,,1.93,,0.0253,1.9553
Nickel & compounds,8.04,,8.04,,0.19,8.23
Oxides of Nitrogen,1200000.0,,1200000.0,,,1200000.0
Particulate Matter 10.0 um,48600.0,,48600.0,,,48600.0
Particulate Matter 2.5 um,46500.0,,46500.0,,,46500.0
Polychlorinated dioxins and furans (TEQ),2.47E-5,,2.47E-5,,,2.47E-5
Polycyclic aromatic hydrocarbons (B[a]Peq),6.28,,6.28,,,6.28
Sulfur dioxide,934.0,,934.0,,,934.0
Toluene (methylbenzene),28.9,13.6,15.3,,0.3,29.2
Total Volatile Organic Compounds,4151080.0,1080.0,4150000.0,,,4151080.0
Xylenes (individual or mixed isomers),24.7,14.0,10.7,,0.13,24.83
