Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,2.59,,2.59,,0.096,2.686
Beryllium & compounds,0.577,,0.577,,,0.577
Cadmium & compounds,10.6,,10.6,,,10.6
Carbon monoxide,1380000.0,,1380000.0,,,1380000.0
Chlorine & compounds,,,,,68100.0,68100.0
Chromium (III) compounds,13.4,,13.4,,,13.4
Copper & compounds,8.92,,8.92,,,8.92
Cumene (1-methylethylbenzene),11.3,11.3,,,,11.3
Ethylbenzene,2.54,2.54,,,,2.54
n-Hexane,3.35,3.35,,,,3.35
Hydrogen sulfide,143000.0,,143000.0,,,143000.0
Lead & compounds,6.27,,6.27,,0.938,7.208
Mercury & compounds,2.94,,2.94,,2.65,5.59
Nickel & compounds,19.8,,19.8,,0.164,19.964
Oxides of Nitrogen,1800000.0,,1800000.0,,,1800000.0
Particulate Matter 10.0 um,77700.0,,77700.0,,,77700.0
Particulate Matter 2.5 um,76600.0,,76600.0,,,76600.0
Polychlorinated dioxins and furans (TEQ),4.97E-5,,4.97E-5,,,4.97E-5
Polycyclic aromatic hydrocarbons (B[a]Peq),8.04,,8.04,,,8.04
Sulfur dioxide,3060.0,,3060.0,,,3060.0
Toluene (methylbenzene),8.6,6.5,2.1,,0.06,8.66
Total Volatile Organic Compounds,2490516.0,516.0,2490000.0,,,2490516.0
Xylenes (individual or mixed isomers),8.18,6.71,1.47,,0.04,8.22
