Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,5.12,,5.12,,,5.12
Benzene,83.5,43.4,40.1,,,83.5
Beryllium & compounds,3.84,,3.84,,,3.84
Cadmium & compounds,3.84,,3.84,,,3.84
Carbon monoxide,130000.0,,130000.0,,,130000.0
Chlorine & compounds,,,,,47300.0,47300.0
Chromium (III) compounds,3.84,,3.84,,,3.84
Copper & compounds,7.69,,7.69,,,7.69
Cumene (1-methylethylbenzene),76.5,76.5,,,,76.5
Ethylbenzene,17.2,17.2,,,,17.2
Lead & compounds,11.5,,11.5,,,11.5
Mercury & compounds,3.84,,3.84,,,3.84
Nickel & compounds,3.84,,3.84,,,3.84
Oxides of Nitrogen,352000.0,,352000.0,,,352000.0
Particulate Matter 10.0 um,14700.0,,14700.0,,,14700.0
Particulate Matter 2.5 um,7270.0,,7270.0,,,7270.0
Polychlorinated dioxins and furans (TEQ),2.97E-5,,2.97E-5,,,2.97E-5
Polycyclic aromatic hydrocarbons (B[a]Peq),14.9,,14.9,,,14.9
Sulfur dioxide,1330.0,,1330.0,,,1330.0
Toluene (methylbenzene),58.6,44.1,14.5,,,58.6
Total Volatile Organic Compounds,80000.0,3500.0,76500.0,,,80000.0
Xylenes (individual or mixed isomers),55.6,45.5,10.1,,,55.6
