Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,2.97,,2.97,,0.164,3.134
Beryllium & compounds,1.12,,1.12,,,1.12
Cadmium & compounds,9.3,,9.3,,,9.3
Carbon monoxide,906000.0,,906000.0,,,906000.0
Chlorine & compounds,,,,,64800.0,64800.0
Chromium (III) compounds,11.5,,11.5,,,11.5
Copper & compounds,8.55,,8.55,,,8.55
Cumene (1-methylethylbenzene),23.9,23.9,,,,23.9
Ethylbenzene,5.38,5.38,,,0.0617,5.4417
n-Hexane,7.1,7.1,,,,7.1
Hydrogen sulfide,131000.0,,131000.0,,,131000.0
Lead & compounds,7.04,,7.04,,1.6,8.64
Mercury & compounds,3.04,,3.04,,4.53,7.57
Nickel & compounds,16.7,,16.7,,0.28,16.98
Oxides of Nitrogen,1580000.0,,1580000.0,,,1580000.0
Particulate Matter 10.0 um,67100.0,,67100.0,,,67100.0
Particulate Matter 2.5 um,64900.0,,64900.0,,,64900.0
Polychlorinated dioxins and furans (TEQ),4.54E-5,,4.54E-5,,,4.54E-5
Polycyclic aromatic hydrocarbons (B[a]Peq),9.05,,9.05,,,9.05
Sulfur dioxide,9420.0,,9420.0,,,9420.0
Toluene (methylbenzene),26.8,13.8,13.0,,0.11,26.91
Total Volatile Organic Compounds,2071090.0,1090.0,2070000.0,,,2071090.0
Xylenes (individual or mixed isomers),23.29,14.2,9.09,,0.06,23.35
