Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Benzene,328.8,169.0,159.8,,,328.8
Carbon monoxide,26755.68,,26755.68,,,26755.68
Cumene (1-methylethylbenzene),0.24008,0.24008,,,,0.24008
Cyclohexane,0.04936,0.04936,,,,0.04936
Ethylbenzene,14.6988,7.9388,6.76,,,14.6988
n-Hexane,2440.0,1305.0,1135.0,,,2440.0
Oxides of Nitrogen,23317.0,,23317.0,,,23317.0
Particulate Matter 10.0 um,1368.8,,1368.8,,,1368.8
Particulate Matter 2.5 um,1336.6,,1336.6,,,1336.6
Polycyclic aromatic hydrocarbons (B[a]Peq),6.79E-5,,6.79E-5,,,6.79E-5
Sulfur dioxide,4.4821,,4.4821,,,4.4821
Toluene (methylbenzene),182.703,95.297,87.406,,,182.703
Total Volatile Organic Compounds,81663.95,41765.9,39898.05,,,81663.95
Xylenes (individual or mixed isomers),44.626,23.063,21.563,,,44.626
