Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Benzene,300.15,245.4,54.75,,0.0013,300.1513
Carbon monoxide,18890.0,,18890.0,,,18890.0
Cumene (1-methylethylbenzene),0.6817,0.6817,,,0.02795,0.70965
Cyclohexane,0.1402,0.1402,,,,0.1402
Ethylbenzene,13.462,11.59,1.872,,0.0013,13.4633
n-Hexane,2206.5,1892.0,314.5,,0.0013,2206.5013
Oxides of Nitrogen,56360.0,,56360.0,,,56360.0
Particulate Matter 10.0 um,3887.0,,3887.0,,,3887.0
Particulate Matter 2.5 um,3795.0,,3795.0,,,3795.0
Polycyclic aromatic hydrocarbons (B[a]Peq),1.87E-4,,1.87E-4,,0.1066,0.106787
Sulfur dioxide,12.73,,12.73,,,12.73
Toluene (methylbenzene),167.23,138.4,28.83,,0.0039,167.2339
Total Volatile Organic Compounds,75370.0,60590.0,14780.0,,,75370.0
Xylenes (individual or mixed isomers),42.848,33.65,9.198,,0.013,42.861
