Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Benzene,243.54,207.9,35.64,,,243.54
Carbon monoxide,8448.0,,8448.0,,,8448.0
Cumene (1-methylethylbenzene),0.2138,0.2138,,,,0.2138
Cyclohexane,0.04396,0.04396,,,,0.04396
Ethylbenzene,11.14,9.75,1.39,,,11.14
n-Hexane,1838.4,1605.0,233.4,,,1838.4
Oxides of Nitrogen,18124.0,,18124.0,,,18124.0
Particulate Matter 10.0 um,1219.0,,1219.0,,,1219.0
Particulate Matter 2.5 um,1190.0,,1190.0,,,1190.0
Polycyclic aromatic hydrocarbons (B[a]Peq),5.826E-5,,5.826E-5,,,5.826E-5
Sulfur dioxide,3.991,,3.991,,,3.991
Toluene (methylbenzene),136.4,117.2,19.2,,,136.4
Total Volatile Organic Compounds,60556.0,51371.0,9185.0,,,60556.0
Xylenes (individual or mixed isomers),33.615,28.32,5.295,,,33.615
