Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Benzene,221.0,180.0,41.0,,,221.0
Carbon monoxide,10000.0,,10000.0,,,10000.0
Cumene (1-methylethylbenzene),0.18,0.18,,,,0.18
Cyclohexane,0.04,0.04,,,,0.04
Ethylbenzene,10.1,8.5,1.6,,,10.1
n-Hexane,1660.0,1400.0,260.0,,,1660.0
Oxides of Nitrogen,25000.0,,25000.0,,,25000.0
Particulate Matter 10.0 um,1700.0,,1700.0,,,1700.0
Particulate Matter 2.5 um,1600.0,,1600.0,,,1600.0
Polycyclic aromatic hydrocarbons (B[a]Peq),7.9E-5,,7.9E-5,,,7.9E-5
Sulfur dioxide,5.4,,5.4,,,5.4
Toluene (methylbenzene),122.0,100.0,22.0,,,122.0
Total Volatile Organic Compounds,56000.0,45000.0,11000.0,,,56000.0
Xylenes (individual or mixed isomers),31.2,25.0,6.2,,,31.2
