Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.082,,0.082,,,0.082
Beryllium & compounds,0.0049,,0.0049,,,0.0049
Cadmium & compounds,0.45,,0.45,,,0.45
Carbon monoxide,180000.0,,180000.0,,,180000.0
Chromium (VI) compounds,0.029,,0.029,,,0.029
Copper & compounds,0.035,,0.035,,,0.035
Lead & compounds,0.11,,0.11,,,0.11
Mercury & compounds,0.11,,0.11,,,0.11
Nickel & compounds,0.86,,0.86,,,0.86
Oxides of Nitrogen,58000.0,,58000.0,,,58000.0
Particulate Matter 10.0 um,4300.0,,4300.0,,,4300.0
Particulate Matter 2.5 um,4300.0,,4300.0,,,4300.0
Polycyclic aromatic hydrocarbons (B[a]Peq),9.0E-5,,9.0E-5,,2.6E-4,3.5E-4
Sulfur dioxide,270.0,,270.0,,,270.0
Total Volatile Organic Compounds,317300.0,7300.0,310000.0,,,317300.0
