Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Benzene,217.25,179.8,37.45,,,217.25
Carbon monoxide,9927.0,,9927.0,,,9927.0
Cumene (1-methylethylbenzene),0.3042,0.3042,,,,0.3042
Cyclohexane,0.06255,0.06255,,,,0.06255
Ethylbenzene,9.874,8.473,1.401,,,9.874
n-Hexane,1625.3,1390.0,235.3,,,1625.3
Oxides of Nitrogen,25450.0,,25450.0,,,25450.0
Particulate Matter 10.0 um,1734.0,,1734.0,,,1734.0
Particulate Matter 2.5 um,1694.0,,1694.0,,,1694.0
Polycyclic aromatic hydrocarbons (B[a]Peq),8.293E-5,,8.293E-5,,,8.293E-5
Sulfur dioxide,5.679,,5.679,,,5.679
Toluene (methylbenzene),121.43,101.4,20.03,,,121.43
Total Volatile Organic Compounds,54192.0,44420.0,9772.0,,,54192.0
Xylenes (individual or mixed isomers),30.394,24.59,5.804,,,30.394
