Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Benzene,490.0,170.0,320.0,,,490.0
Carbon monoxide,51000.0,,51000.0,,,51000.0
Cumene (1-methylethylbenzene),0.3,0.3,,,,0.3
Cyclohexane,0.06,0.06,,,,0.06
Ethylbenzene,22.1,8.1,14.0,,,22.1
n-Hexane,3600.0,1300.0,2300.0,,,3600.0
Oxides of Nitrogen,32000.0,,32000.0,,,32000.0
Particulate Matter 10.0 um,1700.0,,1700.0,,,1700.0
Particulate Matter 2.5 um,1600.0,,1600.0,,,1600.0
Polycyclic aromatic hydrocarbons (B[a]Peq),8.0E-5,,8.0E-5,,,8.0E-5
Sulfur dioxide,5.5,,5.5,,,5.5
Toluene (methylbenzene),277.0,97.0,180.0,,,277.0
Total Volatile Organic Compounds,124000.0,43000.0,81000.0,,,124000.0
Xylenes (individual or mixed isomers),67.0,24.0,43.0,,,67.0
