Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Benzene,262.67,219.9,42.77,,,262.67
Carbon monoxide,14730.0,,14730.0,,,14730.0
Cumene (1-methylethylbenzene),0.5149,0.5149,,,,0.5149
Cyclohexane,0.1059,0.1059,,,,0.1059
Ethylbenzene,11.845,10.37,1.475,,,11.845
n-Hexane,1944.0,1696.0,247.8,,,1944.0
Oxides of Nitrogen,42620.0,,42620.0,,,42620.0
Particulate Matter 10.0 um,2936.0,,2936.0,,,2936.0
Particulate Matter 2.5 um,2867.0,,2867.0,,,2867.0
Polycyclic aromatic hydrocarbons (B[a]Peq),1.421E-4,,1.421E-4,,,1.421E-4
Sulfur dioxide,9.613,,9.613,,,9.613
Toluene (methylbenzene),146.55,124.0,22.55,,,146.55
Total Volatile Organic Compounds,65840.0,54300.0,11540.0,,,65840.0
Xylenes (individual or mixed isomers),37.232,30.1,7.132,,,37.232
