Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Benzene,31.0,31.0,,,,31.0
Carbon monoxide,9400.0,,9400.0,,,9400.0
Cumene (1-methylethylbenzene),0.25,0.25,,,,0.25
Cyclohexane,0.051,0.051,,,,0.051
Ethylbenzene,1.6,1.6,,,,1.6
n-Hexane,330.0,330.0,,,,330.0
Oxides of Nitrogen,21000.0,,21000.0,,,21000.0
Particulate Matter 10.0 um,1400.0,,1400.0,,,1400.0
Particulate Matter 2.5 um,1400.0,,1400.0,,,1400.0
Polycyclic aromatic hydrocarbons (B[a]Peq),6.8E-5,,6.8E-5,,,6.8E-5
Sulfur dioxide,13.0,,13.0,,,13.0
Toluene (methylbenzene),18.0,18.0,,,,18.0
Total Volatile Organic Compounds,53700.0,44000.0,9700.0,,,53700.0
Xylenes (individual or mixed isomers),4.5,4.5,,,,4.5
