Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Benzene,235.1,200.1,35.0,,,235.1
Carbon monoxide,9502.0,,9502.0,,,9502.0
Cumene (1-methylethylbenzene),0.2993,0.2993,,,,0.2993
Cyclohexane,0.06154,0.06154,,,,0.06154
Ethylbenzene,10.698,9.4,1.298,,,10.698
n-Hexane,1762.1,1544.0,218.1,,,1762.1
Oxides of Nitrogen,25000.0,,25000.0,,,25000.0
Particulate Matter 10.0 um,1706.0,,1706.0,,,1706.0
Particulate Matter 2.5 um,1666.0,,1666.0,,,1666.0
Polycyclic aromatic hydrocarbons (B[a]Peq),8.097E-5,,8.097E-5,,,8.097E-5
Sulfur dioxide,5.588,,5.588,,,5.588
Toluene (methylbenzene),131.49,112.8,18.69,,,131.49
Total Volatile Organic Compounds,58587.0,49430.0,9157.0,,,58587.0
Xylenes (individual or mixed isomers),32.779,27.31,5.469,,,32.779
