Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Benzene,269.0,200.0,69.0,,,269.0
Carbon monoxide,12000.0,,12000.0,,,12000.0
Cumene (1-methylethylbenzene),0.14,0.14,,,,0.14
Cyclohexane,0.029,0.029,,,,0.029
Ethylbenzene,12.4,9.5,2.9,,,12.4
n-Hexane,2080.0,1600.0,480.0,,,2080.0
Oxides of Nitrogen,13000.0,,13000.0,,,13000.0
Particulate Matter 10.0 um,810.0,,810.0,,,810.0
Particulate Matter 2.5 um,790.0,,790.0,,,790.0
Polycyclic aromatic hydrocarbons (B[a]Peq),3.8E-5,,3.8E-5,,,3.8E-5
Sulfur dioxide,2.7,,2.7,,,2.7
Toluene (methylbenzene),147.0,110.0,37.0,,,147.0
Total Volatile Organic Compounds,67000.0,50000.0,17000.0,,,67000.0
Xylenes (individual or mixed isomers),37.4,28.0,9.4,,,37.4
