Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Benzene,287.29,205.1,82.19,,0.002257,287.292257
Carbon monoxide,18980.0,,18980.0,,,18980.0
Cumene (1-methylethylbenzene),0.4487,0.4487,,,0.07336,0.52206
Cyclohexane,0.09225,0.09225,,,7.524E-4,0.0930024
Ethylbenzene,12.898,9.662,3.236,,0.008276,12.906276
n-Hexane,2125.7,1582.0,543.7,,7.524E-4,2125.7007524
Oxides of Nitrogen,38230.0,,38230.0,,,38230.0
Particulate Matter 10.0 um,2558.0,,2558.0,,,2558.0
Particulate Matter 2.5 um,2498.0,,2498.0,,,2498.0
Polycyclic aromatic hydrocarbons (B[a]Peq),1.229E-4,,1.229E-4,,0.02709,0.0272129
Sulfur dioxide,8.377,,8.377,,,8.377
Toluene (methylbenzene),159.97,115.6,44.37,,0.007524,159.977524
Total Volatile Organic Compounds,71770.0,50650.0,21120.0,,,71770.0
Xylenes (individual or mixed isomers),40.14,28.06,12.08,,0.02596,40.16596
