Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.00143,0.00143,,,,0.00143
Beryllium & compounds,7.14E-5,7.14E-5,,,,7.14E-5
Cadmium & compounds,8.32E-5,8.32E-5,,,,8.32E-5
Carbon monoxide,295286.0,671.0,294615.0,,,295286.0
Chromium (III) compounds,0.0166,0.0166,,,,0.0166
Copper & compounds,0.00714,0.00714,,,,0.00714
Fluoride compounds,0.0476,0.0476,,,,0.0476
Lead & compounds,0.00832,0.00832,,,,0.00832
Mercury & compounds,1.43E-5,1.43E-5,,,,1.43E-5
Nickel & compounds,0.0119,0.0119,,,,0.0119
Oxides of Nitrogen,846444.0,444.0,846000.0,,,846444.0
Particulate Matter 10.0 um,44407.0,184.0,44223.0,,,44407.0
Particulate Matter 2.5 um,44339.0,131.0,44208.0,,,44339.0
Polycyclic aromatic hydrocarbons (B[a]Peq),0.0212305,0.0212,3.05E-5,0.081,,0.1022305
Sulfur dioxide,11399.65,1.11,11398.54,,,11399.65
Total Volatile Organic Compounds,42861.0,61.0,42800.0,,,42861.0
