Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.0015,0.0015,,,,0.0015
Beryllium & compounds,7.5E-5,7.5E-5,,,,7.5E-5
Cadmium & compounds,8.75E-5,8.75E-5,,,,8.75E-5
Carbon monoxide,302378.777869456,336.9436396,302041.834229856,,,302378.777869456
Chromium (III) compounds,0.0175,0.0175,,,,0.0175
Copper & compounds,0.0075,0.0075,,,,0.0075
Fluoride compounds,0.05,0.05,,,,0.05
Lead & compounds,0.00875,0.00875,,,,0.00875
Mercury & compounds,1.5E-5,1.5E-5,,,,1.5E-5
Nickel & compounds,0.0125,0.0125,,,,0.0125
Oxides of Nitrogen,886223.0,223.0,886000.0,,,886223.0
Particulate Matter 10.0 um,46671.361831766,117.0,46554.361831766,,,46671.361831766
Particulate Matter 2.5 um,46610.99252943,66.054297664,46544.938231766,,,46610.99252943
Polycyclic aromatic hydrocarbons (B[a]Peq),0.010619,0.0106,1.9E-5,,,0.010619
Sulfur dioxide,12088.496002851,0.557124632,12087.938878219,,,12088.496002851
Total Volatile Organic Compounds,35932.4,32.4,35900.0,,,35932.4
