Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,2.6,2.6,,,,2.6
Beryllium & compounds,0.13,0.13,,,,0.13
Cadmium & compounds,0.152,0.152,,,,0.152
Carbon monoxide,792340.0,3340.0,789000.0,,,792340.0
Chromium (III) compounds,30.3,30.3,,,,30.3
Copper & compounds,13.0,13.0,,,,13.0
Cumene (1-methylethylbenzene),0.097,0.097,,,,0.097
Fluoride compounds,86.6,86.6,,,,86.6
n-Hexane,0.0323,0.0323,,,,0.0323
Lead & compounds,15.2,15.2,,,,15.2
Mercury & compounds,0.026,0.026,,,,0.026
Nickel & compounds,21.7,21.7,,,,21.7
Oxides of Nitrogen,1482140.0,2140.0,1480000.0,,,1482140.0
Particulate Matter 10.0 um,254200.0,188000.0,66200.0,,,254200.0
Particulate Matter 2.5 um,66624.0,624.0,66000.0,,,66624.0
Polycyclic aromatic hydrocarbons (B[a]Peq),0.101349,0.101,3.49E-4,,,0.101349
Sulfur dioxide,15005.68,5.68,15000.0,,,15005.68
Total Volatile Organic Compounds,9013.0,443.0,8570.0,,,9013.0
