Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,2.35,2.35,,,,2.35
Beryllium & compounds,0.117,0.117,,,,0.117
Cadmium & compounds,0.137,0.137,,,,0.137
Carbon monoxide,899777.0,777.0,899000.0,,,899777.0
Chromium (III) compounds,27.4,27.4,,,,27.4
Copper & compounds,12.0,12.0,,,,12.0
Fluoride compounds,283.0,283.0,,,,283.0
Lead & compounds,13.7,13.7,,,,13.7
Mercury & compounds,0.0235,0.0235,,,,0.0235
Nickel & compounds,19.5,19.5,,,,19.5
Oxides of Nitrogen,917504.0,504.0,917000.0,,,917504.0
Particulate Matter 10.0 um,223200.0,176000.0,47200.0,,,223200.0
Particulate Matter 2.5 um,47348.0,148.0,47200.0,,,47348.0
Polycyclic aromatic hydrocarbons (B[a]Peq),0.0238173,0.0238,1.73E-5,,,0.0238173
Sulfur dioxide,14801.31,1.31,14800.0,,,14801.31
Total Volatile Organic Compounds,446.0,66.0,380.0,,,446.0
