Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.00404,0.00404,,,,0.00404
Beryllium & compounds,2.02E-4,2.02E-4,,,,2.02E-4
Cadmium & compounds,2.36E-4,2.36E-4,,,,2.36E-4
Carbon monoxide,303906.0,906.0,303000.0,,,303906.0
Chromium (III) compounds,0.0471,0.0471,,,,0.0471
Copper & compounds,0.0202,0.0202,,,,0.0202
Fluoride compounds,0.135,0.135,,,,0.135
Lead & compounds,0.0236,0.0236,,,,0.0236
Mercury & compounds,4.04E-5,4.04E-5,,,,4.04E-5
Nickel & compounds,0.0337,0.0337,,,,0.0337
Oxides of Nitrogen,706600.0,600.0,706000.0,,,706600.0
Particulate Matter 10.0 um,43716.0,316.0,43400.0,,,43716.0
Particulate Matter 2.5 um,43578.0,178.0,43400.0,,,43578.0
Polycyclic aromatic hydrocarbons (B[a]Peq),0.028644,0.0286,4.4E-5,,,0.028644
Sulfur dioxide,11101.5,1.5,11100.0,,,11101.5
Total Volatile Organic Compounds,37582.0,82.0,37500.0,,,37582.0
