Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,2.63,2.63,,,,2.63
Beryllium & compounds,0.131,0.131,,,,0.131
Cadmium & compounds,0.153,0.153,,,,0.153
Carbon monoxide,681870.0,1870.0,680000.0,,,681870.0
Chromium (III) compounds,30.6,30.6,,,,30.6
Copper & compounds,13.0,13.0,,,,13.0
Fluoride compounds,87.5,87.5,,,,87.5
Lead & compounds,15.3,15.3,,,,15.3
Mercury & compounds,0.0263,0.0263,,,,0.0263
Nickel & compounds,21.9,21.9,,,,21.9
Oxides of Nitrogen,800190.0,1190.0,799000.0,,,800190.0
Particulate Matter 10.0 um,224974.0,182770.0,42204.0,,,224974.0
Particulate Matter 2.5 um,42518.0,347.0,42171.0,,,42518.0
Polycyclic aromatic hydrocarbons (B[a]Peq),0.0559649,0.0559,6.49E-5,,,0.0559649
Sulfur dioxide,10603.2,3.2,10600.0,,,10603.2
Total Volatile Organic Compounds,1585.0,165.0,1420.0,,,1585.0
