Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,2.27,2.27,,,,2.27
Beryllium & compounds,0.114,0.114,,,,0.114
Cadmium & compounds,0.133,0.133,,,,0.133
Carbon monoxide,314030.0,1030.0,313000.0,,,314030.0
Chromium (III) compounds,26.5,26.5,,,,26.5
Copper & compounds,11.4,11.4,,,,11.4
Fluoride compounds,75.8,75.8,,,,75.8
Lead & compounds,13.3,13.3,,,,13.3
Mercury & compounds,0.0227,0.0227,,,,0.0227
Nickel & compounds,18.9,18.9,,,,18.9
Oxides of Nitrogen,697629.0,629.0,697000.0,,,697629.0
Particulate Matter 10.0 um,218700.0,174000.0,44700.0,,,218700.0
Particulate Matter 2.5 um,44881.0,181.0,44700.0,,,44881.0
Polycyclic aromatic hydrocarbons (B[a]Peq),0.0291772,0.0291,7.72E-5,,,0.0291772
Sulfur dioxide,11201.8,1.8,11200.0,,,11201.8
Total Volatile Organic Compounds,1786.0,96.0,1690.0,,,1786.0
