Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.0152,0.0152,,,,0.0152
Beryllium & compounds,7.6E-4,7.6E-4,,,,7.6E-4
Cadmium & compounds,8.86E-4,8.86E-4,,,,8.86E-4
Carbon monoxide,365802.0,802.0,365000.0,,,365802.0
Chromium (III) compounds,0.177,0.177,,,,0.177
Copper & compounds,0.1,0.1,,,,0.1
Fluoride compounds,0.506,0.506,,,,0.506
Lead & compounds,0.0886,0.0886,,,,0.0886
Mercury & compounds,1.52E-4,1.52E-4,,,,1.52E-4
Nickel & compounds,0.127,0.127,,,,0.127
Oxides of Nitrogen,754531.0,531.0,754000.0,,,754531.0
Particulate Matter 10.0 um,43951.0,651.0,43300.0,,,43951.0
Particulate Matter 2.5 um,43457.0,157.0,43300.0,,,43457.0
Polycyclic aromatic hydrocarbons (B[a]Peq),0.0253232,0.0253,2.32E-5,,,0.0253232
Sulfur dioxide,11201.33,1.33,11200.0,,,11201.33
Total Volatile Organic Compounds,31271.0,71.0,31200.0,,,31271.0
