Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.5275159,0.5184451,0.009070744,,,0.5275159
Benzene,8428.8306,928.1606,7500.67,,,8428.8306
Beryllium & compounds,0.25927706636,0.2592226,5.446636E-5,,,0.25927706636
Cadmium & compounds,0.06437413,0.01451646,0.04985767,,0.02401431,0.08838844
Carbon monoxide,3407201.0,27878.0,3379323.0,,,3407201.0
Chromium (III) compounds,5.747328,5.702896,0.04443198,,1.309015,7.056343
Chromium (VI) compounds,0.01904228,,0.01904228,,,0.01904228
Copper & compounds,2.889994,2.851448,0.03854542,,0.1883475,3.0783415
Cumene (1-methylethylbenzene),73.19859,73.19859,,,,73.19859
Ethylbenzene,2290.098,403.9599,1886.138,,,2290.098
Fluoride compounds,114.0579,114.0579,,,,114.0579
Formaldehyde (methyl aldehyde),18626.5428,33.3228,18593.22,,,18626.5428
n-Hexane,64072.8,26562.99,37509.8,,,64072.8
Hydrochloric acid,0.04144433,0.04144433,,,,0.04144433
Hydrogen sulfide,0.001228659,0.001228659,,,,0.001228659
Lead & compounds,2.977762,2.955137,0.02262449,,0.05885859,3.03662059
Mercury & compounds,0.09472433,0.08295122,0.01177311,,,0.09472433
Nickel & compounds,3.72422264,3.629116,0.09510664,,3.107734,6.83195664
Oxides of Nitrogen,9488396.6,104473.6,9383923.0,,,9488396.6
Particulate Matter 10.0 um,338506.85,266872.0,71634.85,,,338506.85
Particulate Matter 2.5 um,78301.35,7681.528,70619.82,,,78301.35
Polychlorinated dioxins and furans (TEQ),3.143846E-6,,3.143846E-6,,,3.143846E-6
Polycyclic aromatic hydrocarbons (B[a]Peq),5.446106,0.1426119,5.303494,,,5.446106
Sulfur dioxide,54032.6,30.22728,54002.37,,,54032.6
Toluene (methylbenzene),8535.583,1513.108,7022.475,,,8535.583
Total Volatile Organic Compounds,1571406.0,265250.0,1306156.0,,,1571406.0
Xylenes (individual or mixed isomers),4776.151,1599.223,3176.928,,,4776.151
