Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.592241,0.5200506,0.07219035,,,0.592241
Benzene,5506.4231,924.3501,4582.073,7.524E-4,,5506.4238524
Beryllium & compounds,0.2604588,0.2600253,4.334756E-4,3.2E-8,,0.260458832
Cadmium & compounds,0.41135832,0.01456142,0.3967969,7.488E-6,0.07804548,0.489411288
Carbon monoxide,3182225.62,41758.62,3140467.0,,,3182225.62
Chromium (III) compounds,6.074173,5.720557,0.353616,1.0208E-5,3.784261,9.858444208
Chromium (VI) compounds,0.1515497,,0.1515497,,2.214072,2.3656217
Copper & compounds,3.167046,2.860278,0.3067673,,5.669518,8.836564
Cumene (1-methylethylbenzene),73.84674,73.84674,,0.024453,,73.871193
Ethylbenzene,2203.3642,396.5782,1806.786,0.0027588,,2203.3669588
Fluoride compounds,114.4111,114.4111,,,,114.4111
Formaldehyde (methyl aldehyde),17993.27416,62.07416,17931.2,,,17993.27416
n-Hexane,50848.29,25500.36,25347.92,2.508E-4,,50848.2902508
Hydrochloric acid,0.4736495,0.4736495,,,,0.4736495
Hydrogen sulfide,0.00196182,0.00196182,,,,0.00196182
Lead & compounds,3.1443481,2.964289,0.1800591,1.51136E-4,0.6460926,3.790591836
Mercury & compounds,0.17690551,0.0832081,0.09369741,,0.03012343,0.20702894
Nickel & compounds,4.397269,3.640354,0.756915,2.24E-6,6.258062,10.65533324
Oxides of Nitrogen,9519229.4,177556.4,9341673.0,,,9519229.4
Particulate Matter 10.0 um,349285.86,272320.4,76965.46,,,349285.86
Particulate Matter 2.5 um,88281.77,12508.8,75772.97,,,88281.77
Polychlorinated dioxins and furans (TEQ),5.073041E-6,,5.073041E-6,,,5.073041E-6
Polycyclic aromatic hydrocarbons (B[a]Peq),6.3684003,0.1958933,6.172507,0.0090288,,6.3774291
Sulfur dioxide,75051.88,46.83084,75005.04,,,75051.88
Toluene (methylbenzene),7498.52,1484.002,6014.518,0.002508,,7498.522508
Total Volatile Organic Compounds,1155888.0,259791.3,896096.5,,,1155888.0
Xylenes (individual or mixed isomers),4502.113,1573.9,2928.213,0.0086526,,4502.1216526
