Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.5762565,0.5172414,0.05901509,,,0.5762565
Benzene,6429.641,901.0188,5528.622,,,6429.641
Beryllium & compounds,0.2589751,0.2586207,3.543631E-4,,,0.2589751
Cadmium & compounds,0.3388613,0.01448276,0.3243785,,0.02597901,0.36484031
Carbon monoxide,2834279.29,31150.29,2803129.0,,,2834279.29
Chromium (III) compounds,5.9787345,5.689656,0.2890785,,2.9341,8.9128345
Chromium (VI) compounds,0.1238908,,0.1238908,,,0.1238908
Copper & compounds,3.095608,2.844828,0.25078,,0.3169553,3.4125633
Cumene (1-methylethylbenzene),65.77879,65.77879,,,,65.77879
Ethylbenzene,1921.8544,377.3314,1544.523,,,1921.8544
Fluoride compounds,113.7931,113.7931,,,,113.7931
Formaldehyde (methyl aldehyde),17277.8584,36.1784,17241.68,,,17277.8584
n-Hexane,47774.21,25985.87,21788.34,,,47774.21
Hydrochloric acid,0.004854907,0.004854907,,,,0.004854907
Hydrogen sulfide,2.834755E-4,2.834755E-4,,,,2.834755E-4
Lead & compounds,3.095473,2.948276,0.147197,,0.06367405,3.15914705
Mercury & compounds,0.1593556,0.08275863,0.07659695,,,0.1593556
Nickel & compounds,4.239463,3.62069,0.6187725,,3.178608,7.418071
Oxides of Nitrogen,8857357.0,112351.3,8745005.0,,,8857357.0
Particulate Matter 10.0 um,336829.3,266943.0,69886.3,,,336829.3
Particulate Matter 2.5 um,77218.141,8375.221,68842.92,,,77218.141
Polychlorinated dioxins and furans (TEQ),4.35191E-6,,4.35191E-6,,,4.35191E-6
Polycyclic aromatic hydrocarbons (B[a]Peq),5.573234,0.1873149,5.385919,,,5.573234
Sulfur dioxide,77809.5706,33.8306,77775.74,,,77809.5706
Toluene (methylbenzene),6859.126,1441.627,5417.499,,,6859.126
Total Volatile Organic Compounds,1045813.4,268236.2,777577.2,,,1045813.4
Xylenes (individual or mixed isomers),4075.15,1485.253,2589.897,,,4075.15
