Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.55829658,0.5174975,0.04079908,1.2E-10,,0.55829658012
Benzene,21937.647,2955.747,18981.9,0.1767411,,21937.8237411
Beryllium & compounds,0.2589937829,0.2587488,2.449829E-4,2.0E-9,,0.2589937849
Cadmium & compounds,0.23874353,0.01448993,0.2242536,4.68756E-7,0.09578209,0.334526088756
Carbon monoxide,5715617.89,41104.89,5674513.0,,,5715617.89
Chromium (III) compounds,5.8923225,5.692473,0.1998495,6.3884E-7,0.8799324,6.77225553884
Chromium (VI) compounds,0.0856498,,0.0856498,,0.6457353,0.7313851
Copper & compounds,3.0196085,2.846236,0.1733725,8.88E-10,1.210401,4.230009500888
Cumene (1-methylethylbenzene),32.92576,32.92576,,0.040755,,32.966515
Cyclohexane,1554.0125,964.1125,589.9,4.18E-4,,1554.012918
Ethylbenzene,3240.218,1114.318,2125.9,0.02799627,,3240.24599627
Fluoride compounds,113.8495,113.8495,,,,113.8495
Formaldehyde (methyl aldehyde),17053.34144,34.93144,17018.41,,,17053.34144
n-Hexane,138155.199,8093.299,130061.9,3.363918,,138158.562918
Lead & compounds,3.0514981,2.949736,0.1017621,9.446792E-6,0.170505,3.222012546792
Mercury & compounds,0.1357536,0.0827996,0.052954,1.2E-10,0.01885714,0.15461074012
Nickel & compounds,4.0502609,3.622483,0.4277779,1.41188E-7,1.761971,5.812232041188
Oxides of Nitrogen,9157539.3,155278.8,9002260.5,,,9157539.3
Particulate Matter 10.0 um,334354.83,270160.8,64194.03,,,334354.83
Particulate Matter 2.5 um,74560.37,11297.34,63263.03,,,74560.37
Polychlorinated dioxins and furans (TEQ),3.818563E-6,,3.818563E-6,,,3.818563E-6
Polycyclic aromatic hydrocarbons (B[a]Peq),6.919999,1.751594,5.168405,0.015048,,6.935047
Sulfur dioxide,81073.07465,66.37465,81006.7,,,81073.07465
Toluene (methylbenzene),21082.969,7603.069,13479.9,0.1650432,,21083.1340432
Total Volatile Organic Compounds,4614709.7,173395.7,4441314.0,,,4614709.7
Xylenes (individual or mixed isomers),9521.272,5075.372,4445.9,0.06268002,,9521.33468002
