Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.6554995,0.5184402,0.1370592,,,0.6554995
Benzene,12497.24,580.7079,11916.53,1.030036,,12498.270036
Beryllium & compounds,0.2600431,0.2592201,8.229884E-4,,,0.2600431
Cadmium & compounds,0.76786723,0.01451633,0.7533509,,0.0293452,0.79721243
Carbon monoxide,3847974.0,69633.69,3778340.0,,,3847974.0
Chromium (III) compounds,6.3742116,5.702843,0.6713686,,2.092524,8.4667356
Chromium (VI) compounds,0.2877294,,0.2877294,,,0.2877294
Copper & compounds,3.433844,2.851421,0.5824226,,0.3580242,3.7918682
Cumene (1-methylethylbenzene),68.26871,68.26871,,33.47616,,101.74487
Ethylbenzene,2363.4854,329.3104,2034.175,3.776797,,2367.262197
Fluoride compounds,114.0569,114.0569,,,,114.0569
Formaldehyde (methyl aldehyde),15982.41,68.26597,15914.14,,,15982.41
n-Hexane,97518.45,18341.45,79177.0,0.3433452,,97518.7933452
Hydrochloric acid,0.05328557,0.05328557,,,,0.05328557
Hydrogen sulfide,1.859237E-4,1.859237E-4,,,,1.859237E-4
Lead & compounds,3.296966,2.955109,0.3418567,,0.07192451,3.36889051
Mercury & compounds,0.26084254,0.08295044,0.1778921,,,0.26084254
Nickel & compounds,5.066146,3.629082,1.437064,,7.177107,12.243253
Oxides of Nitrogen,8603177.3,217902.3,8385275.0,,,8603177.3
Particulate Matter 10.0 um,346650.86,276332.5,70318.36,,,346650.86
Particulate Matter 2.5 um,86480.8,17193.63,69287.17,,,86480.8
Polychlorinated dioxins and furans (TEQ),6.146455E-6,,6.146455E-6,,,6.146455E-6
Polycyclic aromatic hydrocarbons (B[a]Peq),5.779516,0.371654,5.407862,12.36043,,18.139946
Sulfur dioxide,63941.16531,71.98531,63869.18,,,63941.16531
Toluene (methylbenzene),10815.46,1116.699,9698.76,3.433452,,10818.893452
Total Volatile Organic Compounds,2888482.0,175142.9,2713339.0,,,2888482.0
Xylenes (individual or mixed isomers),5087.011,1382.015,3704.996,11.84541,,5098.85641
