Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.5737373,0.4642236,0.1095137,,,0.5737373
Benzene,272941.824,1022.924,271918.9,,,272941.824
Beryllium & compounds,0.2327694,0.2321118,6.575878E-4,,,0.2327694
Cadmium & compounds,0.61494406,0.01299826,0.6019458,,0.4088805,1.02382456
Carbon monoxide,6144413.6,111981.6,6032432.0,,,6144413.6
Chromium (III) compounds,5.6429,5.10646,0.5364399,,4.088805,9.731705
Chromium (VI) compounds,0.2299028,,0.2299028,,,0.2299028
Copper & compounds,3.0186,2.55323,0.4653698,,13.55147,16.57007
Cumene (1-methylethylbenzene),64.23267,64.23267,,,,64.23267
Ethylbenzene,64205.7248,444.6848,63761.04,,,64205.7248
Fluoride compounds,102.1292,102.1292,,,,102.1292
Formaldehyde (methyl aldehyde),23056.538,1187.938,21868.6,,,23056.538
n-Hexane,271736.9,14194.69,257542.2,,,271736.9
Hydrochloric acid,0.4163379,0.4163379,,,,0.4163379
Hydrogen sulfide,107721.3,0.03659403,107721.2,,,107721.3
Lead & compounds,2.9192269,2.646075,0.2731519,,4.088805,7.0080319
Mercury & compounds,11.84561578,0.07427578,11.77134,,0.0584115,11.90402728
Nickel & compounds,4.397815,3.249565,1.148249,,8.002376,12.400191
Oxides of Nitrogen,1.54907575523934E7,448167.3,1.50425902523934E7,,,1.54907575523934E7
Particulate Matter 10.0 um,398471.4,237968.9,160502.5,,,398471.4
Particulate Matter 2.5 um,187686.75,31143.45,156543.3,,,187686.75
Polychlorinated dioxins and furans (TEQ),1.975028E-5,,1.975028E-5,,,1.975028E-5
Polycyclic aromatic hydrocarbons (B[a]Peq),34.509862,2.218692,32.29117,,,34.509862
Sulfur dioxide,35178.16,153.6899,35024.47,,,35178.16
Toluene (methylbenzene),640049.8,2501.775,637548.0,,,640049.8
Total Volatile Organic Compounds,1.00153811087077E7,223754.7,9791626.0,,,1.00153811087077E7
Xylenes (individual or mixed isomers),499275.703,2478.203,496797.5,,,499275.703
