Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.7616432,0.6236476,0.1379956,,,0.7616432
Benzene,787715.232,1034.732,786680.5,,,787715.232
Beryllium & compounds,0.3126524109,0.3118238,8.286109E-4,,,0.3126524109
Cadmium & compounds,0.77595983,0.01746213,0.7584977,,0.4189486,1.19490843
Carbon monoxide,6482825.62,97934.62,6384891.0,,,6482825.62
Chromium (III) compounds,7.5360793,6.860124,0.6759553,,4.198177,11.7342563
Chromium (VI) compounds,0.2896951,,0.2896951,,,0.2896951
Copper & compounds,4.0164636,3.430062,0.5864016,,4.205903,8.2223666
Cumene (1-methylethylbenzene),63.57317,63.57317,,,,63.57317
Ethylbenzene,120849.1645,549.8645,120299.3,,,120849.1645
"Ethylene glycol (1,2-ethanediol)",,,,15.0,,15.0
Fluoride compounds,137.2025,137.2025,,,,137.2025
Formaldehyde (methyl aldehyde),24797.189,1357.749,23439.44,,,24797.189
n-Hexane,155204.42,15244.22,139960.2,,,155204.42
Hydrogen sulfide,260365.303049,2.003049,260363.3,,,260365.303049
Lead & compounds,3.8989832,3.554791,0.3441922,,4.189486,8.0884692
Mercury & compounds,86.88613362,0.09978362,86.78635,,,86.88613362
Nickel & compounds,5.812415,4.365533,1.446882,,4.19528,10.007695
Oxides of Nitrogen,1.5812117243469E7,389982.9,1.5422134343469E7,,,1.5812117243469E7
Particulate Matter 10.0 um,439656.8,281622.1,158034.7,,,439656.8
Particulate Matter 2.5 um,181540.98,27222.88,154318.1,,,181540.98
Polychlorinated dioxins and furans (TEQ),1.910072E-5,,1.910072E-5,,,1.910072E-5
Polycyclic aromatic hydrocarbons (B[a]Peq),32.371663,2.589593,29.78207,,,32.371663
Sulfur dioxide,37764.6062,177.5162,37587.09,,,37764.6062
Toluene (methylbenzene),1663386.915,2666.015,1660720.9,,,1663386.915
Total Volatile Organic Compounds,1.66740253E7,133770.7,1.65402546E7,,,1.66740253E7
Xylenes (individual or mixed isomers),972162.185,2999.585,969162.6,,,972162.185
