Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Ammonia (total),,,,,5.1,5.1
Benzene,38032.0,32.0,38000.0,0.0033,,38032.0033
Cadmium & compounds,,,,,0.53,0.53
Carbon monoxide,6200630.0,630.0,6200000.0,,,6200630.0
Chromium (III) compounds,,,,,1.3,1.3
Copper & compounds,,,,,1.9,1.9
Cumene (1-methylethylbenzene),6.9,6.9,,0.074,,6.974
Ethylbenzene,2010.0,10.0,2000.0,0.0039,,2010.0039
"Ethylene glycol (1,2-ethanediol)",,,,570.0,,570.0
Hydrogen sulfide,203.2,3.2,200.0,,,203.2
Lead & compounds,,,,,0.53,0.53
Mercury & compounds,2.035E-5,2.0E-5,3.5E-7,,0.013,0.01302035
Nickel & compounds,,,,,1.3,1.3
Oxides of Nitrogen,4400680.0,680.0,4400000.0,,,4400680.0
Particulate Matter 10.0 um,23097.0,97.0,23000.0,,,23097.0
Particulate Matter 2.5 um,23094.0,94.0,23000.0,,,23094.0
Polycyclic aromatic hydrocarbons (B[a]Peq),0.01819,0.018,1.9E-4,0.26,,0.27819
Sulfur dioxide,5502.4,2.4,5500.0,,,5502.4
Toluene (methylbenzene),23085.0,85.0,23000.0,0.01,,23085.01
Total Volatile Organic Compounds,9207400.0,7400.0,9200000.0,,,9207400.0
Xylenes (individual or mixed isomers),5678.0,78.0,5600.0,0.034,,5678.034
