Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.63568364,0.591672,0.04401164,,8.708385,9.34406864
Benzene,562669.935,1423.835,561246.1,,,562669.935
Beryllium & compounds,0.2961003,0.295836,2.642731E-4,,,0.2961003
Boron & compounds,11.83344,11.83344,,,10438.99,10450.82344
Cadmium & compounds,0.25847832,0.01656682,0.2419115,,0.7361835,0.99466182
Carbon monoxide,5190698.81,62247.81,5128451.0,,,5190698.81
Chromium (III) compounds,6.723978,6.508392,0.2155859,,7.361835,14.085813
Chromium (VI) compounds,0.09239394,,0.09239394,,,0.09239394
Copper & compounds,3.44122,3.254196,0.187024,,77.56648,81.0077
Cumene (1-methylethylbenzene),62.28132,62.28132,,,,62.28132
Ethylbenzene,92748.42,588.0917,92160.32,,,92748.42
Fluoride compounds,130.1678,130.1678,,,,130.1678
Formaldehyde (methyl aldehyde),24756.7829,744.8929,24011.89,,,24756.7829
n-Hexane,103802.9,19522.4,84280.49,,,103802.9
Hydrochloric acid,0.3921818,0.3921818,,,,0.3921818
Hydrogen sulfide,144866.3,,144866.3,,,144866.3
Lead & compounds,3.482305,3.37253,0.109775,,7.361835,10.84414
Mercury & compounds,0.1601205,0.09466752,0.06545296,,0.1104275,0.270548
Nickel & compounds,4.6031655,4.141704,0.4614615,,8.943383,13.5465485
Oxides of Nitrogen,1.59856205881972E7,228503.6,1.57571169420067E7,,,1.59856205881972E7
Particulate Matter 10.0 um,431424.7,268157.6,163267.1,,,431424.7
Particulate Matter 2.5 um,175228.5,15920.62,159307.8,,,175228.5
Polychlorinated dioxins and furans (TEQ),1.806468E-5,,1.806468E-5,,,1.806468E-5
Polycyclic aromatic hydrocarbons (B[a]Peq),33.387912,1.448402,31.93951,,,33.387912
Sulfur dioxide,44393.61,80.37145,44313.23,,,44393.61
Toluene (methylbenzene),1155464.122,3690.122,1151774.0,,,1155464.122
Total Volatile Organic Compounds,9114990.0,288990.0,8826000.0,,,9114990.0
Xylenes (individual or mixed isomers),754855.205,3451.005,751404.2,,,754855.205
