Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Ammonia (total),,,,,7.216,7.216
Arsenic & compounds,0.001923,0.001923,,,,0.001923
Benzene,89749.1,856.1,88893.0,0.1003,,89749.2003
Beryllium & compounds,0.007035,0.007035,,,,0.007035
Cadmium & compounds,2.001E-4,2.001E-4,,,0.7465,0.7467001
Carbon monoxide,1.42908715E7,871.5,1.429E7,,,1.42908715E7
Chromium (III) compounds,5.363E-4,5.363E-4,,,1.866,1.8665363
Chromium (VI) compounds,2.232E-4,2.232E-4,,,,2.232E-4
Copper & compounds,0.01995,0.01995,,,2.737,2.75695
Ethylbenzene,4850.8,187.8,4663.0,0.3678,,4851.1678
Hydrogen sulfide,1528.28,23.28,1505.0,,,1528.28
Lead & compounds,0.001883,0.001883,,,0.7465,0.748383
Mercury & compounds,4.924428E-4,4.918E-4,6.428E-7,,0.01866,0.0191524428
Nickel & compounds,0.1583,0.1583,,,1.866,2.0243
Oxides of Nitrogen,1.09809065E7,906.5,1.098E7,,,1.09809065E7
Particulate Matter 10.0 um,53477.0,137.0,53340.0,,,53477.0
Particulate Matter 2.5 um,53435.0,105.0,53330.0,,,53435.0
Polycyclic aromatic hydrocarbons (B[a]Peq),0.01815811,0.01813,2.811E-5,1.204,,1.22215811
Sulfur dioxide,14110.1,20.1,14090.0,,,14110.1
Toluene (methylbenzene),62781.0,1577.0,61204.0,0.3344,,62781.3344
Total Volatile Organic Compounds,2.0938724E7,48110.0,2.0890614E7,,,2.0938724E7
Xylenes (individual or mixed isomers),13864.0,1104.0,12760.0,1.15,,13865.15
