Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.6294914,0.4028437,0.2266477,,6.758691,7.3881824
Benzene,261360.6619,987.1619,260373.5,,,261360.6619
Beryllium & compounds,0.202782833,0.2014219,0.001360933,,,0.202782833
Cadmium & compounds,1.257057,0.01127962,1.245777,,0.6758691,1.9329261
Carbon monoxide,5493941.0,82439.97,5411501.0,,,5493941.0
Chromium (III) compounds,5.541489,4.431281,1.110207,,25.02568,30.567169
Chromium (VI) compounds,0.4758032,,0.4758032,,,0.4758032
Copper & compounds,3.178763,2.215641,0.9631219,,18.41477,21.593533
Cumene (1-methylethylbenzene),51.63933,51.63933,,,,51.63933
Ethylbenzene,113076.3,428.0357,112648.2,,,113076.3
Fluoride compounds,88.62562,88.62562,,,,88.62562
Formaldehyde (methyl aldehyde),18187.76,648.7585,17539.0,,,18187.76
n-Hexane,147124.63,13079.13,134045.5,,,147124.63
Hydrochloric acid,0.5158043,0.5158043,,,,0.5158043
Hydrogen sulfide,91926.72,0.8970216,91925.82,,,91926.72
Lead & compounds,2.86152,2.296209,0.5653107,,6.758691,9.620211
Mercury & compounds,1.493819,0.064455,1.429364,,0.1013804,1.5951994
Nickel & compounds,5.196305,2.819906,2.376399,,21.37228,26.568585
Oxides of Nitrogen,1.29377033393474E7,351088.7,1.25866146325674E7,,,1.29377033393474E7
Particulate Matter 10.0 um,353377.8,211925.4,141452.4,,,353377.8
Particulate Matter 2.5 um,162320.91,24306.61,138014.3,,,162320.91
Polychlorinated dioxins and furans (TEQ),2.062555E-5,,2.062555E-5,,,2.062555E-5
Polycyclic aromatic hydrocarbons (B[a]Peq),30.08718,1.164167,28.92301,,,30.08718
Sulfur dioxide,30142.572,105.522,30037.05,,,30142.572
Toluene (methylbenzene),854909.937,2469.437,852440.5,,,854909.937
Total Volatile Organic Compounds,8150710.9,208209.9,7942501.0,,,8150710.9
Xylenes (individual or mixed isomers),615993.8,2433.251,613560.5,,,615993.8
