Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.42636142,0.3688414,0.05752002,,6.926529,7.35289042
Benzene,613069.9,1050.675,612019.2,,,613069.9
Beryllium & compounds,0.1847661,0.1844207,3.453858E-4,,,0.1847661
Boron & compounds,7.376827,7.376827,,,9843.722,9851.098827
Cadmium & compounds,0.32648846,0.01032756,0.3161609,,0.6926529,1.01914136
Carbon monoxide,5309439.38,52139.38,5257300.0,,,5309439.38
Chromium (III) compounds,4.3390101,4.057255,0.2817551,,6.926529,11.2655391
Chromium (VI) compounds,0.1207522,,0.1207522,,,0.1207522
Copper & compounds,2.2730549,2.028628,0.2444269,,29.68882,31.9618749
Cumene (1-methylethylbenzene),60.78114,60.78114,,,,60.78114
Ethylbenzene,101172.7177,420.8177,100751.9,,,101172.7177
Fluoride compounds,81.1451,81.1451,,,,81.1451
Formaldehyde (methyl aldehyde),24445.6957,715.3457,23730.35,,,24445.6957
n-Hexane,173332.53,14766.53,158566.0,,,173332.53
Hydrochloric acid,0.4163379,0.4163379,,,,0.4163379
Hydrogen sulfide,238177.704077009,0.004077009,238177.7,,,238177.704077009
Lead & compounds,2.245864,2.102396,0.143468,,6.926529,9.172393
Mercury & compounds,0.14943921,0.05901462,0.09042459,,0.1385306,0.28796981
Nickel & compounds,3.1849868,2.58189,0.6030968,,6.926529,10.1115158
Oxides of Nitrogen,1.59382299335432E7,190495.8,1.57477341335432E7,,,1.59382299335432E7
Particulate Matter 10.0 um,354959.4,189758.9,165200.5,,,354959.4
Particulate Matter 2.5 um,174399.1,13302.97,161096.1,,,174399.1
Polychlorinated dioxins and furans (TEQ),1.871183E-5,,1.871183E-5,,,1.871183E-5
Polycyclic aromatic hydrocarbons (B[a]Peq),33.91675,1.404439,32.51231,,,33.91675
Sulfur dioxide,43548.73535,67.56535,43481.17,,,43548.73535
Toluene (methylbenzene),1260215.445,2626.445,1257589.0,,,1260215.445
Total Volatile Organic Compounds,9223019.0,196946.8,9026072.0,,,9223019.0
Xylenes (individual or mixed isomers),742890.8,2373.07,740517.7,,,742890.8
