Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.7314205,0.5751321,0.1562884,,6.814496,7.5459165
Benzene,668229.604,1633.604,666596.0,,,668229.604
Beryllium & compounds,0.2885045,0.287566,9.384521E-4,,,0.2885045
Boron & compounds,11.50264,11.50264,,,11555.92,11567.42264
Cadmium & compounds,0.8751483,0.0161037,0.8590446,,0.6814496,1.5565979
Carbon monoxide,5484635.0,72726.86,5411908.0,,,5484635.0
Chromium (III) compounds,7.0920133,6.326453,0.7655603,,6.814496,13.9065093
Chromium (VI) compounds,0.3280973,,0.3280973,,,0.3280973
Copper & compounds,3.827362,3.163226,0.6641353,,30.1389,33.966262
Cumene (1-methylethylbenzene),64.41463,64.41463,,,,64.41463
Ethylbenzene,81589.41,630.9492,80958.46,,,81589.41
Fluoride compounds,126.5291,126.5291,,,,126.5291
Formaldehyde (methyl aldehyde),25290.83,983.2981,24307.53,,,25290.83
n-Hexane,97242.99,19650.19,77592.8,,,97242.99
Hydrochloric acid,0.7914683,0.7914683,,,,0.7914683
Hydrogen sulfide,317620.9,,317620.9,,,317620.9
Lead & compounds,3.6680715,3.278253,0.3898185,,6.814496,10.4825675
Mercury & compounds,0.2992695,0.09202113,0.2072483,,0.1362899,0.4355594
Nickel & compounds,5.664607,4.025925,1.638682,,6.814496,12.479103
Oxides of Nitrogen,1.64776731055723E7,266106.4,1.6211566679746E7,,,1.64776731055723E7
Particulate Matter 10.0 um,438172.7,264983.1,173189.6,,,438172.7
Particulate Matter 2.5 um,187594.0,18571.43,169022.5,,,187594.0
Polychlorinated dioxins and furans (TEQ),2.170353E-5,,2.170353E-5,,,2.170353E-5
Polycyclic aromatic hydrocarbons (B[a]Peq),35.820034,1.909054,33.91098,,,35.820034
Sulfur dioxide,48706.79,95.00822,48611.78,,,48706.79
Toluene (methylbenzene),1242792.419,4298.419,1238494.0,,,1242792.419
Total Volatile Organic Compounds,9399622.0,299627.9,9099994.0,,,9399622.0
Xylenes (individual or mixed isomers),719111.529,3979.929,715131.6,,,719111.529
