Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.01,,0.01,,,0.01
Benzene,178.26,175.0,3.26,,,178.26
Beryllium & compounds,0.01,,0.01,,,0.01
Cadmium & compounds,0.01,,0.01,,,0.01
Carbon monoxide,205000.0,,205000.0,,,205000.0
Chromium (VI) compounds,0.01,,0.01,,,0.01
Copper & compounds,0.08,,0.08,,,0.08
Cumene (1-methylethylbenzene),0.46,0.46,,,,0.46
Cyclohexane,35.0,35.0,,,,35.0
Ethylbenzene,23.4,23.4,,,,23.4
n-Hexane,3360.0,3360.0,,,,3360.0
Hydrogen sulfide,0.06,0.06,,,,0.06
Lead & compounds,0.25,,0.25,,,0.25
Mercury & compounds,0.01,,0.01,,,0.01
Nickel & compounds,0.01,,0.01,,,0.01
Oxides of Nitrogen,651000.0,,651000.0,,,651000.0
Particulate Matter 10.0 um,7400.0,,7400.0,,,7400.0
Particulate Matter 2.5 um,7040.0,,7040.0,,,7040.0
Polycyclic aromatic hydrocarbons (B[a]Peq),2.04E-5,,2.04E-5,,,2.04E-5
Sulfur dioxide,74000.0,,74000.0,,,74000.0
Toluene (methylbenzene),164.7,161.0,3.7,,,164.7
Total Volatile Organic Compounds,585000.0,156000.0,429000.0,,,585000.0
Xylenes (individual or mixed isomers),48.6,48.2,0.4,,,48.6
