Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.01,,0.01,,,0.01
Benzene,146.8,143.63,3.17,,,146.8
Beryllium & compounds,0.0073,,0.0073,,,0.0073
Cadmium & compounds,0.005,,0.005,,,0.005
Carbon monoxide,186313.62,,186313.62,,,186313.62
Chromium (VI) compounds,0.01,,0.01,,,0.01
Copper & compounds,0.05,,0.05,,,0.05
Cumene (1-methylethylbenzene),0.29,0.29,,,,0.29
Cyclohexane,22.17,22.17,,,,22.17
Ethylbenzene,19.15,19.15,,,,19.15
n-Hexane,2752.97,2752.97,,,,2752.97
Hydrogen sulfide,0.06,0.06,,,,0.06
Lead & compounds,0.16,,0.16,,,0.16
Mercury & compounds,0.01,,0.01,,,0.01
Nickel & compounds,0.004829,,0.004829,,,0.004829
Oxides of Nitrogen,480393.77,,480393.77,,,480393.77
Particulate Matter 10.0 um,5208.58,,5208.58,,,5208.58
Particulate Matter 2.5 um,4964.69,,4964.69,,,4964.69
Polycyclic aromatic hydrocarbons (B[a]Peq),3.0E-5,,3.0E-5,,,3.0E-5
Sulfur dioxide,118462.42,,118462.42,,,118462.42
Toluene (methylbenzene),134.55,131.66,2.89,,,134.55
Total Volatile Organic Compounds,558743.48,127542.16,431201.32,,,558743.48
Xylenes (individual or mixed isomers),38.21,37.64,0.57,,,38.21
