Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.00407,,0.00407,,,0.00407
Benzene,38.24,36.48,1.76,,,38.24
Beryllium & compounds,0.01,,0.01,,,0.01
Cadmium & compounds,0.004,,0.004,,,0.004
Carbon monoxide,238480.99,,238480.99,,,238480.99
Chromium (III) compounds,0.0,,0.0,,,0.0
Chromium (VI) compounds,0.0044,,0.0044,,,0.0044
Copper & compounds,0.05,,0.05,,,0.05
Cumene (1-methylethylbenzene),0.17,0.17,,,,0.17
Cyclohexane,12.56,12.56,,,,12.56
Ethylbenzene,4.82,4.82,,,,4.82
n-Hexane,693.33,693.33,,,,693.33
Hydrogen sulfide,0.003,0.003,,,,0.003
Lead & compounds,0.16,,0.16,,,0.16
Mercury & compounds,0.01,,0.01,,,0.01
Nickel & compounds,0.0041,,0.0041,,,0.0041
Oxides of Nitrogen,341997.37,,341997.37,,,341997.37
Particulate Matter 10.0 um,4513.56,,4513.56,,,4513.56
Particulate Matter 2.5 um,4292.62,,4292.62,,,4292.62
Polycyclic aromatic hydrocarbons (B[a]Peq),8.0E-6,,8.0E-6,,,8.0E-6
Sulfur dioxide,151323.41,,151323.41,,,151323.41
Toluene (methylbenzene),33.84,31.65,2.19,,,33.84
Total Volatile Organic Compounds,589630.68,37061.81,552568.87,,,589630.68
Xylenes (individual or mixed isomers),10.11,9.95,0.16,,,10.11
