Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.01,,0.01,,0.01,0.02
Benzene,309.0,304.0,4.51,,0.04,309.04
Beryllium & compounds,0.01,,0.01,,,0.01
Cadmium & compounds,0.01,,0.01,,0.0,0.01
Carbon monoxide,251000.0,,251000.0,,,251000.0
Chromium (III) compounds,0.0,,0.0,,,0.0
Chromium (VI) compounds,0.01,,0.01,,0.0,0.01
Copper & compounds,0.1,,0.1,,,0.1
Cumene (1-methylethylbenzene),1.9,1.9,,,,1.9
Cyclohexane,1600.0,1600.0,,,,1600.0
Ethylbenzene,40.6,40.6,,,0.04,40.64
Fluoride compounds,0.0,,0.0,,,0.0
n-Hexane,5830.0,5830.0,,,,5830.0
Hydrochloric acid,0.0,,0.0,,,0.0
Hydrogen sulfide,0.15,0.15,,,64.7,64.85
Lead & compounds,0.31,,0.31,,,0.31
Magnesium oxide fume,0.0,,0.0,,,0.0
Mercury & compounds,0.02,,0.02,,,0.02
Nickel & compounds,0.01,,0.01,,,0.01
Nickel carbonyl,0.0,,0.0,,,0.0
Nickel subsulfide,0.0,,0.0,,,0.0
Oxides of Nitrogen,802000.0,,802000.0,,,802000.0
Particulate Matter 10.0 um,9240.0,,9240.0,,,9240.0
Polychlorinated dioxins and furans (TEQ),0.0,,0.0,,,0.0
Polycyclic aromatic hydrocarbons (B[a]Peq),0.38,,0.38,,0.0,0.38
Sulfur dioxide,83900.0,,83900.0,,,83900.0
Toluene (methylbenzene),284.0,279.0,4.76,,0.76,284.76
Total Volatile Organic Compounds,745000.0,267000.0,478000.0,,,745000.0
Xylenes (individual or mixed isomers),84.2,83.6,0.64,,2.64,86.84
