Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.01,,0.01,,0.01,0.02
Benzene,243.0,239.0,4.39,,0.03,243.03
Beryllium & compounds,0.01,,0.01,,,0.01
Cadmium & compounds,0.01,,0.01,,,0.01
Carbon monoxide,251000.0,,251000.0,,,251000.0
Chromium (VI) compounds,0.01,,0.01,,,0.01
Copper & compounds,0.1,,0.1,,,0.1
Cumene (1-methylethylbenzene),1.9,1.9,,,,1.9
Cyclohexane,1600.0,1600.0,,,,1600.0
Ethylbenzene,31.8,31.8,,,0.03,31.83
n-Hexane,4580.0,4580.0,,,,4580.0
Hydrogen sulfide,0.1,0.1,,,47.5,47.6
Lead & compounds,0.3,,0.3,,,0.3
Mercury & compounds,0.02,,0.02,,,0.02
Nickel & compounds,0.01,,0.01,,,0.01
Oxides of Nitrogen,765000.0,,765000.0,,,765000.0
Particulate Matter 10.0 um,8980.0,,8980.0,,,8980.0
Polycyclic aromatic hydrocarbons (B[a]Peq),0.37,,0.37,,,0.37
Sulfur dioxide,100000.0,,100000.0,,,100000.0
Toluene (methylbenzene),223.0,219.0,4.63,,0.55,223.55
Total Volatile Organic Compounds,696000.0,211000.0,485000.0,,,696000.0
Xylenes (individual or mixed isomers),66.3,65.6,0.63,,1.94,68.24
