Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.17,,0.17,,0.1,0.27
Benzene,339.0,335.0,3.33,,0.0,339.0
Beryllium & compounds,0.01,,0.01,,,0.01
Cadmium & compounds,0.91,,0.91,,,0.91
Carbon monoxide,272000.0,,272000.0,,,272000.0
Chromium (VI) compounds,0.06,,0.06,,,0.06
Copper & compounds,0.07,,0.07,,,0.07
Ethylbenzene,44.3,44.3,,,0.0,44.3
n-Hexane,6370.0,6370.0,,,,6370.0
Hydrochloric acid,0.0,,0.0,,,0.0
Hydrogen sulfide,0.13,0.13,,,65.1,65.23
Lead & compounds,0.24,,0.24,,,0.24
Mercury & compounds,0.22,,0.22,,,0.22
Nickel & compounds,1.74,,1.74,,,1.74
Oxides of Nitrogen,1050000.0,,1050000.0,,,1050000.0
Particulate Matter 10.0 um,6710.0,,6710.0,,,6710.0
Polycyclic aromatic hydrocarbons (B[a]Peq),0.29,,0.29,,40.8,41.09
Sulfur dioxide,60100.0,,60100.0,,,60100.0
Toluene (methylbenzene),294.0,291.0,3.47,,0.0,294.0
Total Volatile Organic Compounds,855000.0,431000.0,424000.0,,,855000.0
Xylenes (individual or mixed isomers),91.9,91.4,0.5,,0.0,91.9
