Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.0057,,0.0057,,,0.0057
Benzene,41.96,39.63,2.33,,,41.96
Beryllium & compounds,0.0096,,0.0096,,,0.0096
Cadmium & compounds,0.06,,0.06,,,0.06
Carbon monoxide,328511.61,,328511.61,,,328511.61
Chromium (VI) compounds,0.01,,0.01,,,0.01
Copper & compounds,0.22,,0.22,,,0.22
Cumene (1-methylethylbenzene),0.21,0.21,,,,0.21
Cyclohexane,16.19,16.19,,,,16.19
Ethylbenzene,5.24,5.24,,,,5.24
n-Hexane,753.25,753.25,,,,753.25
Hydrogen sulfide,0.04,0.04,,,,0.04
Lead & compounds,0.22,,0.22,,,0.22
Mercury & compounds,0.01,,0.01,,,0.01
Nickel & compounds,0.005667,,0.005667,,,0.005667
Oxides of Nitrogen,465323.31,,465323.31,,,465323.31
Particulate Matter 10.0 um,6292.95,,6292.95,,,6292.95
Particulate Matter 2.5 um,5983.59,,5983.59,,,5983.59
Polycyclic aromatic hydrocarbons (B[a]Peq),9.0E-6,,9.0E-6,,,9.0E-6
Sulfur dioxide,242037.11,,242037.11,,,242037.11
Toluene (methylbenzene),37.4,34.39,3.01,,,37.4
Total Volatile Organic Compounds,726163.9,40901.03,685262.87,,,726163.9
Xylenes (individual or mixed isomers),10.99,10.81,0.18,,,10.99
