Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.01,,0.01,,,0.01
Benzene,139.26,136.86,2.4,,,139.26
Beryllium & compounds,0.01,,0.01,,,0.01
Cadmium & compounds,0.01,,0.01,,,0.01
Carbon monoxide,183096.72,,183096.72,,,183096.72
Chromium (VI) compounds,0.01,,0.01,,,0.01
Copper & compounds,0.06,,0.06,,,0.06
Cumene (1-methylethylbenzene),0.35,0.35,,,,0.35
Cyclohexane,26.49,26.49,,,,26.49
Ethylbenzene,18.25,18.25,,,,18.25
n-Hexane,2623.24,2623.24,,,,2623.24
Hydrogen sulfide,0.06,0.06,,,,0.06
Lead & compounds,0.19,,0.19,,,0.19
Mercury & compounds,0.01,,0.01,,,0.01
Nickel & compounds,0.01,,0.01,,,0.01
Oxides of Nitrogen,452609.81,,452609.81,,,452609.81
Particulate Matter 10.0 um,5603.51,,5603.51,,,5603.51
Particulate Matter 2.5 um,5331.46,,5331.46,,,5331.46
Polycyclic aromatic hydrocarbons (B[a]Peq),1.4E-5,,1.4E-5,,,1.4E-5
Sulfur dioxide,115536.93,,115536.93,,,115536.93
Toluene (methylbenzene),131.02,128.24,2.78,,,131.02
Total Volatile Organic Compounds,554068.52,122256.17,431812.35,,,554068.52
Xylenes (individual or mixed isomers),37.92,37.64,0.28,,,37.92
