Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.004,,0.004,,0.0,0.004
Benzene,73.31,48.776,24.534,,0.0,73.31
Beryllium & compounds,0.018,,0.018,,0.0,0.018
Cadmium & compounds,0.003,,0.003,,0.0,0.003
Carbon monoxide,435263.475,,435263.475,,,435263.475
Chromium (VI) compounds,0.0,,0.0,,0.0,0.0
Copper & compounds,1.104,,1.104,,0.0,1.104
Cumene (1-methylethylbenzene),21.856,21.856,,,0.0,21.856
Cyclohexane,830.753,830.753,,,0.0,830.753
Ethylbenzene,199.151,135.27,63.881,,0.0,199.151
n-Hexane,3648.043,1360.942,2287.101,,0.0,3648.043
Hydrogen sulfide,0.899,0.899,,,0.0,0.899
Lead & compounds,0.64,,0.64,,0.0,0.64
Mercury & compounds,0.003,,0.003,,0.0,0.003
Nickel & compounds,0.018,,0.018,,0.0,0.018
Oxides of Nitrogen,985377.508,,985377.508,,,985377.508
Particulate Matter 10.0 um,4951.287,,4951.287,,,4951.287
Particulate Matter 2.5 um,4944.776,,4944.776,,,4944.776
Polycyclic aromatic hydrocarbons (B[a]Peq),0.868,,0.868,,0.0,0.868
Sulfur dioxide,33373.97,,33373.97,,,33373.97
Toluene (methylbenzene),554.753,294.119,260.634,,0.0,554.753
Total Volatile Organic Compounds,515855.327,126735.39,389119.937,,,515855.327
Xylenes (individual or mixed isomers),856.932,730.483,126.449,,0.0,856.932
