Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.0053,,0.0053,,,0.0053
Benzene,120.7,118.13,2.57,,,120.7
Beryllium & compounds,0.0086,,0.0086,,,0.0086
Cadmium & compounds,0.005,,0.005,,,0.005
Carbon monoxide,237115.33,,237115.33,,,237115.33
Chromium (III) compounds,0.0,,0.0,,,0.0
Chromium (VI) compounds,0.01,,0.01,,,0.01
Copper & compounds,0.19,,0.19,,,0.19
Cumene (1-methylethylbenzene),0.25,0.25,,,,0.25
Cyclohexane,18.61,18.61,,,,18.61
Ethylbenzene,15.75,15.75,,,,15.75
Fluoride compounds,0.0,,0.0,,,0.0
n-Hexane,2264.23,2264.23,,,,2264.23
Hydrochloric acid,0.0,,0.0,,,0.0
Hydrogen sulfide,0.06,0.06,,,,0.06
Lead & compounds,0.19,,0.19,,,0.19
Magnesium oxide fume,0.0,,0.0,,,0.0
Mercury & compounds,0.01,,0.01,,,0.01
Nickel & compounds,0.0053,,0.0053,,,0.0053
Oxides of Nitrogen,465908.3,,465908.3,,,465908.3
Particulate Matter 10.0 um,5768.58,,5768.58,,,5768.58
Particulate Matter 2.5 um,5489.25,,5489.25,,,5489.25
Polycyclic aromatic hydrocarbons (B[a]Peq),1.6E-5,,1.6E-5,,,1.6E-5
Sulfur dioxide,151967.29,,151967.29,,,151967.29
Toluene (methylbenzene),111.18,108.29,2.89,,,111.18
Total Volatile Organic Compounds,630512.53,106454.24,524058.29,,,630512.53
Xylenes (individual or mixed isomers),32.81,32.49,0.32,,,32.81
