Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.15,,0.15,,0.63,0.78
Benzene,381.0,378.0,2.82,,1.54,382.54
Beryllium & compounds,0.01,,0.01,,,0.01
Cadmium & compounds,0.8,,0.8,,,0.8
Carbon monoxide,221000.0,,221000.0,,,221000.0
Chromium (VI) compounds,0.05,,0.05,,,0.05
Copper & compounds,0.06,,0.06,,,0.06
Ethylbenzene,50.0,50.0,,,,50.0
n-Hexane,7190.0,7190.0,,,,7190.0
Hydrogen sulfide,0.29,,0.29,,2380.0,2380.29
Lead & compounds,0.21,,0.21,,,0.21
Mercury & compounds,0.19,,0.19,,,0.19
Nickel & compounds,1.52,,1.52,,,1.52
Oxides of Nitrogen,917000.0,,917000.0,,,917000.0
Particulate Matter 10.0 um,5840.0,,5840.0,,,5840.0
Polycyclic aromatic hydrocarbons (B[a]Peq),0.24,,0.24,,250.0,250.24
Sulfur dioxide,71500.0,,71500.0,,,71500.0
Toluene (methylbenzene),331.0,328.0,3.0,,1.54,332.54
Total Volatile Organic Compounds,821000.0,453000.0,368000.0,,,821000.0
Xylenes (individual or mixed isomers),104.0,103.0,0.41,,1.54,105.54
