Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.0038,,0.0038,,,0.0038
Benzene,86.075,84.412,1.663,,,86.075
Beryllium & compounds,0.01,,0.01,,,0.01
Cadmium & compounds,0.004,,0.004,,,0.004
Carbon monoxide,409555.854,,409555.854,,,409555.854
Chromium (VI) compounds,0.0038,,0.0038,,,0.0038
Copper & compounds,0.05,,0.05,,,0.05
Cumene (1-methylethylbenzene),0.16,0.16,,,,0.16
Cyclohexane,12.0,12.0,,,,12.0
Ethylbenzene,11.15,11.15,,,,11.15
n-Hexane,1603.07,1603.07,,,,1603.07
Hydrogen sulfide,0.031,0.031,,,,0.031
Lead & compounds,0.16,,0.16,,,0.16
Mercury & compounds,0.01,,0.01,,,0.01
Nickel & compounds,0.0038,,0.0038,,,0.0038
Oxides of Nitrogen,785585.95,,785585.95,,,785585.95
Particulate Matter 10.0 um,4559.33,,4559.33,,,4559.33
Particulate Matter 2.5 um,4334.99,,4334.99,,,4334.99
Polycyclic aromatic hydrocarbons (B[a]Peq),6.0E-6,,6.0E-6,,,6.0E-6
Sulfur dioxide,26945.448,,26945.448,,,26945.448
Toluene (methylbenzene),75.35,73.18,2.17,,,75.35
Total Volatile Organic Compounds,528761.393,92718.329,436043.064,,,528761.393
Xylenes (individual or mixed isomers),23.13,23.0,0.13,,,23.13
