Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.16,,0.16,,0.04,0.2
Benzene,561.0,559.0,2.39,,,561.0
Cadmium & compounds,0.85,,0.85,,,0.85
Carbon monoxide,227000.0,,227000.0,,,227000.0
Chromium (VI) compounds,0.05,,0.05,,,0.05
Lead & compounds,0.22,,0.22,,,0.22
Mercury & compounds,0.2,,0.2,,,0.2
Nickel & compounds,1.63,,1.63,,,1.63
Oxides of Nitrogen,988000.0,,988000.0,,,988000.0
Particulate Matter 10.0 um,6100.0,,6100.0,,,6100.0
Polycyclic aromatic hydrocarbons (B[a]Peq),0.14,,0.14,,17.2,17.34
Sulfur dioxide,67800.0,,67800.0,,,67800.0
Toluene (methylbenzene),488.0,485.0,2.95,,,488.0
Xylenes (individual or mixed isomers),153.0,152.0,0.24,,,153.0
