Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.13,,0.13,,0.01,0.14
Benzene,295.0,293.0,1.62,,0.0,295.0
Cadmium & compounds,0.73,,0.73,,0.0,0.73
Carbon monoxide,253000.0,,253000.0,,,253000.0
Chromium (VI) compounds,0.05,,0.05,,0.0,0.05
Lead & compounds,0.18,,0.18,,0.0,0.18
Mercury & compounds,0.17,,0.17,,0.0,0.17
Nickel & compounds,1.39,,1.39,,0.0,1.39
Oxides of Nitrogen,859000.0,,859000.0,,,859000.0
Particulate Matter 10.0 um,5100.0,,5100.0,,,5100.0
Polycyclic aromatic hydrocarbons (B[a]Peq),0.04,,0.04,,3.4,3.44
Sulfur dioxide,60100.0,,60100.0,,,60100.0
Toluene (methylbenzene),257.0,255.0,2.35,,0.0,257.0
Xylenes (individual or mixed isomers),80.1,80.0,0.07,,0.0,80.1
