Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.004,,0.004,,0.0,0.004
Benzene,92.272,67.692,24.58,,0.0,92.272
Beryllium & compounds,0.018,,0.018,,0.0,0.018
Cadmium & compounds,0.003,,0.003,,0.0,0.003
Carbon monoxide,624654.762,,624654.762,,,624654.762
Chromium (VI) compounds,4.8E-6,,4.8E-6,,0.0,4.8E-6
Copper & compounds,1.112,,1.112,,0.0,1.112
Cumene (1-methylethylbenzene),30.331,30.331,,,0.0,30.331
Cyclohexane,1152.914,1152.914,,,0.0,1152.914
Ethylbenzene,252.047,187.727,64.32,,0.0,252.047
n-Hexane,4191.52,1888.709,2302.811,,0.0,4191.52
Hydrogen sulfide,1.004,1.004,,,0.0,1.004
Lead & compounds,0.643,,0.643,,0.0,0.643
Mercury & compounds,0.003,,0.003,,0.0,0.003
Nickel & compounds,0.015,,0.015,,0.0,0.015
Oxides of Nitrogen,786613.811,,786613.811,,,786613.811
Particulate Matter 10.0 um,6156.205,,6156.205,,,6156.205
Particulate Matter 2.5 um,6150.563,,6150.563,,,6150.563
Polycyclic aromatic hydrocarbons (B[a]Peq),0.873,,0.873,,0.0,0.873
Sulfur dioxide,34019.841,,34019.841,,,34019.841
Toluene (methylbenzene),670.549,408.177,262.372,,0.0,670.549
Total Volatile Organic Compounds,562980.784,119814.855,443165.929,,,562980.784
Xylenes (individual or mixed isomers),1141.041,1013.761,127.28,,0.0,1141.041
