Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.01,,0.01,,0.01,0.02
Benzene,457.0,454.0,3.34,,0.0,457.0
Beryllium & compounds,0.02,,0.02,,,0.02
Cadmium & compounds,0.02,,0.02,,0.0,0.02
Carbon monoxide,339000.0,,339000.0,,,339000.0
Chromium (III) compounds,0.01,,0.01,,0.0,0.01
Chromium (VI) compounds,0.0,,0.0,,0.0,0.0
Copper & compounds,0.1,,0.1,,,0.1
Ethylbenzene,60.0,60.0,,,0.17,60.17
Fluoride compounds,0.0,,0.0,,,0.0
n-Hexane,8630.0,8630.0,,,,8630.0
Hydrochloric acid,0.0,,0.0,,,0.0
Hydrogen sulfide,0.12,0.12,,,8.73,8.85
Lead & compounds,0.32,,0.32,,,0.32
Magnesium oxide fume,0.0,,0.0,,,0.0
Mercury & compounds,0.02,,0.02,,,0.02
Nickel & compounds,0.02,,0.02,,,0.02
Oxides of Nitrogen,1150000.0,,1150000.0,,,1150000.0
Particulate Matter 10.0 um,9160.0,,9160.0,,,9160.0
Polychlorinated dioxins and furans (TEQ),0.0,,0.0,,,0.0
Polycyclic aromatic hydrocarbons (B[a]Peq),0.16,,0.16,,0.89,1.05
Sulfur dioxide,87800.0,,87800.0,,,87800.0
Toluene (methylbenzene),398.0,394.0,4.36,,0.17,398.17
Total Volatile Organic Compounds,1060000.0,545000.0,518000.0,,,1060000.0
Xylenes (individual or mixed isomers),124.0,124.0,0.27,,0.17,124.17
