Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.006,,0.006,,0.0,0.006
Benzene,80.996,61.976,19.02,,0.0,80.996
Beryllium & compounds,0.015,,0.015,,0.0,0.015
Cadmium & compounds,0.004,,0.004,,0.0,0.004
Carbon monoxide,289608.199,,289608.199,,,289608.199
Chromium (VI) compounds,3.7E-6,,3.7E-6,,0.0,3.7E-6
Copper & compounds,0.829,,0.829,,0.0,0.829
Cumene (1-methylethylbenzene),27.77,27.77,,,0.0,27.77
Cyclohexane,1055.573,1055.573,,,0.0,1055.573
Ethylbenzene,219.82,171.877,47.943,,0.0,219.82
Fluoride compounds,0.0,,0.0,,,0.0
n-Hexane,3445.706,1729.245,1716.461,,0.0,3445.706
Hydrogen sulfide,0.766,0.766,,,0.0,0.766
Lead & compounds,0.486,,0.486,,0.0,0.486
Magnesium oxide fume,0.0,,0.0,,,0.0
Mercury & compounds,0.004,,0.004,,0.0,0.004
Nickel & compounds,0.025,,0.025,,0.0,0.025
Oxides of Nitrogen,1009819.808,,1009819.808,,,1009819.808
Particulate Matter 10.0 um,3230.681,,3230.681,,,3230.681
Particulate Matter 2.5 um,3221.278,,3221.278,,,3221.278
Polycyclic aromatic hydrocarbons (B[a]Peq),0.651,,0.651,,0.0,0.651
Sulfur dioxide,21501.401,,21501.401,,,21501.401
Toluene (methylbenzene),569.582,373.714,195.868,,0.0,569.582
Total Volatile Organic Compounds,702483.973,112672.416,589811.557,,,702483.973
Xylenes (individual or mixed isomers),1023.252,928.169,95.083,,0.0,1023.252
