Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.01,,0.01,,,0.01
Benzene,171.27,167.57,3.7,,,171.27
Beryllium & compounds,0.01,,0.01,,,0.01
Cadmium & compounds,0.01,,0.01,,,0.01
Carbon monoxide,236288.62,,236288.62,,,236288.62
Chromium (VI) compounds,0.01,,0.01,,,0.01
Copper & compounds,0.08,,0.08,,,0.08
Cumene (1-methylethylbenzene),0.42,0.42,,,,0.42
Cyclohexane,31.94240126,31.94240126,,,,31.94240126
Ethylbenzene,22.34,22.34,,,,22.34
n-Hexane,3211.77,3211.77,,,,3211.77
Hydrogen sulfide,0.06,0.06,,,,0.06
Lead & compounds,0.24,,0.24,,,0.24
Mercury & compounds,0.01,,0.01,,,0.01
Nickel & compounds,0.01,,0.01,,,0.01
Oxides of Nitrogen,581061.11,,581061.11,,,581061.11
Particulate Matter 10.0 um,7292.19,,7292.19,,,7292.19
Particulate Matter 2.5 um,6943.59,,6943.59,,,6943.59
Polycyclic aromatic hydrocarbons (B[a]Peq),2.9E-5,,2.9E-5,,,2.9E-5
Sulfur dioxide,109262.11,,109262.11,,,109262.11
Toluene (methylbenzene),157.41,153.61,3.8,,,157.41
Total Volatile Organic Compounds,647788.87,149606.68,498182.19,,,647788.87
Xylenes (individual or mixed isomers),46.64,46.08,0.56,,,46.64
