Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.003,,0.003,,0.001,0.004
Benzene,30.831,6.631,24.2,,0.001,30.832
Beryllium & compounds,0.017,,0.017,,0.0,0.017
Cadmium & compounds,0.002,,0.002,,0.0,0.002
Carbon monoxide,505649.205,,505649.205,,,505649.205
Chromium (VI) compounds,0.0,,0.0,,0.001,0.001
Copper & compounds,1.101,,1.101,,0.001,1.102
Cumene (1-methylethylbenzene),2.971,2.971,,,0.0,2.971
Cyclohexane,112.933,112.933,,,0.0,112.933
Ethylbenzene,82.065,18.389,63.676,,0.001,82.066
n-Hexane,2464.772,185.007,2279.765,,0.0,2464.772
Hydrogen sulfide,0.456,0.456,,,0.043,0.499
Lead & compounds,0.635,,0.635,,0.001,0.636
Mercury & compounds,0.002,,0.002,,0.0,0.002
Nickel & compounds,0.012,,0.012,,0.008,0.02
Oxides of Nitrogen,904001.098,,904001.098,,,904001.098
Particulate Matter 10.0 um,4828.909,,4828.909,,,4828.909
Particulate Matter 2.5 um,4824.323,,4824.323,,,4824.323
Polycyclic aromatic hydrocarbons (B[a]Peq),0.865,,0.865,,0.0,0.865
Sulfur dioxide,23143.683,,23143.683,,,23143.683
Toluene (methylbenzene),299.671,39.983,259.688,,0.001,299.672
Total Volatile Organic Compounds,586442.166,92442.449,493999.717,,,586442.166
Xylenes (individual or mixed isomers),225.268,99.302,125.966,,0.003,225.271
