Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.01,,0.01,,,0.01
Benzene,163.1,159.95,3.15,,,163.1
Beryllium & compounds,0.01,,0.01,,,0.01
Cadmium & compounds,0.01,,0.01,,,0.01
Carbon monoxide,339256.0,,339256.0,,,339256.0
Chromium (VI) compounds,0.01,,0.01,,,0.01
Copper & compounds,0.1,,0.1,,,0.1
Cumene (1-methylethylbenzene),0.48,0.48,,,,0.48
Cyclohexane,36.2,36.2,,,,36.2
Ethylbenzene,21.33,21.33,,,,21.33
n-Hexane,3065.67,3065.67,,,,3065.67
Hydrogen sulfide,0.05,0.05,,,0.04,0.09
Lead & compounds,0.3,,0.3,,,0.3
Mercury & compounds,0.02,,0.02,,,0.02
Nickel & compounds,0.01,,0.01,,,0.01
Oxides of Nitrogen,594500.0,,594500.0,,,594500.0
Particulate Matter 10.0 um,8600.0,,8600.0,,,8600.0
Particulate Matter 2.5 um,8175.0,,8175.0,,,8175.0
Polycyclic aromatic hydrocarbons (B[a]Peq),1.0E-5,,1.0E-5,,,1.0E-5
Sulfur dioxide,88300.0,,88300.0,,,88300.0
Toluene (methylbenzene),150.72,146.62,4.1,,,150.72
Total Volatile Organic Compounds,818790.79,141690.79,677100.0,,,818790.79
Xylenes (individual or mixed isomers),44.25,44.0,0.25,,,44.25
