Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.0053,,0.0053,,0.02,0.0253
Benzene,170.79,167.81,2.98,,,170.79
Beryllium & compounds,0.0085,,0.0085,,,0.0085
Cadmium & compounds,0.005,,0.005,,,0.005
Carbon monoxide,260321.15,,260321.15,,,260321.15
Chromium (III) compounds,0.0,,0.0,,,0.0
Chromium (VI) compounds,0.01,,0.01,,,0.01
Copper & compounds,0.19,,0.19,,,0.19
Cumene (1-methylethylbenzene),0.27,0.27,,,,0.27
Cyclohexane,20.74,20.74,,,,20.74
Ethylbenzene,22.37,22.37,,,,22.37
Fluoride compounds,0.0,,0.0,,,0.0
n-Hexane,3216.38,3216.38,,,,3216.38
Hydrochloric acid,0.0,,0.0,,,0.0
Hydrogen sulfide,0.07,0.07,,,,0.07
Lead & compounds,0.19,,0.19,,,0.19
Magnesium oxide fume,0.0,,0.0,,,0.0
Mercury & compounds,0.01,,0.01,,,0.01
Nickel & compounds,0.005252,,0.005252,,,0.005252
Oxides of Nitrogen,472009.53,,472009.53,,,472009.53
Particulate Matter 10.0 um,5847.84,,5847.84,,,5847.84
Particulate Matter 2.5 um,5568.36,,5568.36,,,5568.36
Polychlorinated dioxins and furans (TEQ),0.0,,0.0,,,0.0
Polycyclic aromatic hydrocarbons (B[a]Peq),2.3E-5,,2.3E-5,,,2.3E-5
Sulfur dioxide,150185.0,,150185.0,,,150185.0
Toluene (methylbenzene),156.88,153.83,3.05,,,156.88
Total Volatile Organic Compounds,711862.11,148445.24,563416.87,,,711862.11
Xylenes (individual or mixed isomers),38.09,37.64,0.45,,,38.09
