Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.01,,0.01,,,0.01
Benzene,251.0,247.0,3.76,,,251.0
Beryllium & compounds,0.01,,0.01,,,0.01
Cadmium & compounds,0.01,,0.01,,,0.01
Carbon monoxide,243000.0,,243000.0,,,243000.0
Chromium (VI) compounds,0.01,,0.01,,,0.01
Copper & compounds,0.09,,0.09,,,0.09
Cumene (1-methylethylbenzene),1.9,1.9,,,,1.9
Cyclohexane,1600.0,1600.0,,,,1600.0
Ethylbenzene,33.0,33.0,,,,33.0
n-Hexane,4740.0,4740.0,,,,4740.0
Hydrogen sulfide,0.1,0.1,,,,0.1
Lead & compounds,0.27,,0.27,,,0.27
Mercury & compounds,0.014,,0.014,,,0.014
Nickel & compounds,0.01,,0.01,,,0.01
Oxides of Nitrogen,676000.0,,676000.0,,,676000.0
Particulate Matter 10.0 um,8150.0,,8150.0,,,8150.0
Polycyclic aromatic hydrocarbons (B[a]Peq),0.29,,0.29,,,0.29
Sulfur dioxide,86700.0,,86700.0,,,86700.0
Toluene (methylbenzene),231.0,227.0,4.13,,,231.0
Total Volatile Organic Compounds,707000.0,216000.0,490000.0,,,707000.0
Xylenes (individual or mixed isomers),68.5,68.0,0.5,,,68.5
