Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.06,,0.06,,0.45,0.51
Benzene,6632.36,740.85,5891.51,,0.1,6632.46
Beryllium & compounds,3.87E-4,,3.87E-4,,0.05,0.050387
Cadmium & compounds,0.35,,0.35,,0.05,0.4
Carbon monoxide,3574147.0,,3574147.0,,,3574147.0
Chromium (III) compounds,0.45,,0.45,,0.45,0.9
Chromium (VI) compounds,,,,,0.00343,0.00343
Copper & compounds,0.27,,0.27,,1.83,2.1
Ethylbenzene,1065.54,58.57,1006.97,,0.05,1065.59
Fluoride compounds,0.0,,0.0,,,0.0
n-Hexane,66986.0,8990.0,57996.0,,45.18,67031.18
Hydrochloric acid,0.0,,0.0,,,0.0
Hydrogen sulfide,97203.0,,97203.0,,,97203.0
Lead & compounds,0.16,,0.16,,0.45,0.61
Magnesium oxide fume,0.0,,0.0,,,0.0
Mercury & compounds,0.01,,0.01,,0.05,0.06
Nickel & compounds,0.48,,0.48,,1.38,1.86
Oxides of Nitrogen,2118879.0,,2118879.0,,,2118879.0
Particulate Matter 10.0 um,112325.0,,112325.0,,,112325.0
Particulate Matter 2.5 um,112308.0,,112308.0,,,112308.0
Polychlorinated dioxins and furans (TEQ),9.7E-6,,9.7E-6,,,9.7E-6
Polycyclic aromatic hydrocarbons (B[a]Peq),1.82,,1.82,,0.001,1.821
Sulfur dioxide,1763720.0,,1763720.0,,,1763720.0
Toluene (methylbenzene),6491.0,515.0,5976.0,,0.1,6491.1
Total Volatile Organic Compounds,1.0682215E7,183918.0,1.0498297E7,,,1.0682215E7
Xylenes (individual or mixed isomers),3040.1,139.1,2901.0,,0.23,3040.33
