Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,0.02,,0.02,,0.41,0.43
Benzene,4120.0,706.0,3414.0,,0.09,4120.09
Beryllium & compounds,1.0E-4,,1.0E-4,,0.05,0.0501
Cadmium & compounds,0.1,,0.1,,0.05,0.15
Carbon monoxide,2826814.0,,2826814.0,,,2826814.0
Chromium (III) compounds,0.13,,0.13,,0.4,0.53
Chromium (VI) compounds,,,,,0.00309,0.00309
Copper & compounds,0.08,,0.08,,1.65,1.73
Ethylbenzene,903.09,55.09,848.0,,0.05,903.14
Fluoride compounds,0.0,,0.0,,,0.0
n-Hexane,36596.0,8377.0,28219.0,,40.72,36636.72
Hydrochloric acid,0.0,,0.0,,,0.0
Hydrogen sulfide,270166.0,,270166.0,,,270166.0
Lead & compounds,0.05,,0.05,,0.41,0.46
Magnesium oxide fume,0.0,,0.0,,,0.0
Mercury & compounds,0.00247,,0.00247,,0.05,0.05247
Nickel & compounds,0.2,,0.2,,1.24,1.44
Oxides of Nitrogen,1952868.0,,1952868.0,,,1952868.0
Particulate Matter 10.0 um,104471.0,,104471.0,,,104471.0
Particulate Matter 2.5 um,104462.0,,104462.0,,,104462.0
Polychlorinated dioxins and furans (TEQ),8.0E-6,,8.0E-6,,,8.0E-6
Polycyclic aromatic hydrocarbons (B[a]Peq),1.57,,1.57,,0.002,1.572
Sulfur dioxide,189268.0,,189268.0,,,189268.0
Toluene (methylbenzene),5046.0,488.0,4558.0,,0.09,5046.09
Total Volatile Organic Compounds,1618828.0,175751.0,1443077.0,,,1618828.0
Xylenes (individual or mixed isomers),1946.0,131.0,1815.0,,0.2,1946.2
