Substance,Air Total (kg),Air Fugitive (kg),Air Point (kg),Land (kg),Water (kg),Total (kg)
Arsenic & compounds,,,,0.004058,,0.004058
Benzene,4698.09,338.04,4360.05,7.49701,,4705.58701
Beryllium & compounds,,,,0.004,,0.004
Cadmium & compounds,,,,0.00401,,0.00401
Carbon monoxide,900378.74,2137.54,898241.2,,,900378.74
Chromium (III) compounds,,,,0.00403,,0.00403
Copper & compounds,,,,0.00402,,0.00402
Cumene (1-methylethylbenzene),93.99,93.99,,3.9967,,97.9867
Cyclohexane,1684.25,1684.25,,27.9769,,1712.2269
Ethylbenzene,2033.21,587.71,1445.5,30.5967,,2063.8067
n-Hexane,45666.81,6000.61,39666.2,129.7879,,45796.5979
Hydrogen sulfide,30359.17,,30359.17,,,30359.17
Lead & compounds,,,,0.00402,,0.00402
Mercury & compounds,0.88,,0.88,1.22E-4,,0.880122
Methanol,10916.87,,10916.87,,,10916.87
Nickel & compounds,,,,0.00405,,0.00405
Oxides of Nitrogen,1049711.06,1415.86,1048295.2,,,1049711.06
Particulate Matter 10.0 um,22372.59,440.21,21932.38,,,22372.59
Particulate Matter 2.5 um,22320.46,419.04,21901.42,,,22320.46
Phenol,,,,0.81334,,0.81334
Polychlorinated dioxins and furans (TEQ),9.18E-6,,9.18E-6,,,9.18E-6
Polycyclic aromatic hydrocarbons (B[a]Peq),1.2512,0.0675,1.1837,0.57153,,1.82273
Sulfur dioxide,2940.28,3.53,2936.75,,,2940.28
Toluene (methylbenzene),9481.69,1339.34,8142.35,38.63,,9520.32
Total Volatile Organic Compounds,1196092.34,31093.9,1164998.44,,,1196092.34
Xylenes (individual or mixed isomers),3148.27,1627.05,1521.22,30.59673,,3178.86673
